IMP,Task ID,SAN,Status (disk),Shipped,Milestone,In Linear,Spec path,Title
001,F01,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F01-bootstrap-mdeapp.md,"Bootstrap mdeapp from CopilotKit Mastra example"
002,F01b,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F01b-vulnerability-triage.md,"Vulnerability triage — Next.js patch + prismjs/langsmith overrides"
003,F02,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F02-ping-agent-gemini.md,"Replace weatherAgent with pingAgent (Gemini 3.5 Flash + scope:""thread"")"
004,F03,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F03-strip-demos-mdeai-shell.md,"Strip weather/moon/proverbs demo + rewrite page.tsx + layout.tsx as mdeai shell"
005,F04,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F04-env-local-wiring.md,"Wire .env.local with Supabase + Maps + GOOGLE_GENERATIVE_AI_API_KEY"
006,F05,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F05-boot-verification.md,"npm install + npm run dev + verify ""hi"" echo from Gemini"
007,F06,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F06-git-github-vercel-preview.md,"git init + gh repo create + first Vercel preview deploy"
008,F07,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F07-shadcn-paisa-brand-tokens.md,"shadcn/ui init + Paisa brand tokens"
009,F08,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F08-supabase-auth-login-page.md,"Supabase Auth + /login page"
010,F09,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F09-floor-script-and-vitest.md,"`floor` npm script + first Vitest smoke test"
011,F10,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F10-legacy-hard-freeze-architecture-md.md,"Document legacy hard-freeze date + `docs/ARCHITECTURE.md`"
012,F12,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F12-chat-lead-capture-verify-jwt-fix.md,"P0 Fix `chat-lead-capture` verify_jwt drift in legacy"
013,F13,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F13-ai-runs-observability.md,"Port ai-runs.ts + audit-wrapper observability lib from my-mastra-app"
014,F18,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F18-router-and-classify-intent.md,"Port routerAgent + classify-intent tool from my-mastra-app"
015,F19,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F19-concierge-and-restaurants-attractions.md,"Port conciergeAgent + search-restaurants + search-attractions + routing workflow"
016,F48,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F48-copilotkit-map-canvas-layout.md,"CopilotKit 3-panel map canvas on / (Mindtrip shell)"
017,F49,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F49-copilotkit-generative-search-ui.md,"CopilotKit generative UI — search tools → cards → map pins"
018,F50,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F50-copilotkit-map-ui-state.md,"CopilotKit shared map state — MapUiState + focusPin frontend tool"
019,F50b,,"Done",yes,"W1 foundation (shipped)",no,tasks/core/F50b-map-viewport-sync.md,"MapUiState viewport sync — onCameraChanged → agent memory"
020,MAP-001,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-001-platform-map-pipeline.md,"Platform contracts + MapContext + vis.gl + map components (PR-1)"
021,MAP-002,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-002-grounding-attribution.md,"ADK grounding sidecar + Mastra bridge + attribution (PR-2)"
022,MAP-004,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-004-places-grounding-clients.md,"Places API client + field-mask registry (google-places port)"
023,MAP-007B,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-007B-center-copilot-layout.md,"Mindtrip center chat layout (Path B)"
024,MAP-008,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-008-advanced-markers-map-id.md,"Production Map ID + AdvancedMarker chrome"
025,MAP-009,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-009-marker-clustering.md,"Marker clustering for dense rental/event pins"
026,MAP-013,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-013-env-key-verification.md,"Maps / ADK / Places env & key hygiene (doc + grep gate)"
027,MAP-014,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-014-single-map-mobile-mount.md,"Single ChatMap instance — mobile conditional mount"
028,MAP-015,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-015-place-card-pin-sync.md,"PlaceResultCard ↔ map pin sync (grounded / restaurant / attraction)"
029,MAP-016,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-016-fit-bounds-on-search.md,"fitBounds after multi-pin tool merge"
030,MAP-017,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-017-mock-pin-lifecycle.md,"Mock layout pin — dev-only / hide when live pins exist"
031,MAP-018,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-018-mindtrip-grounded-place-cards.md,"Mindtrip-style grounded place cards (Grounding Lite + Places New enrichment)"
032,MAP-019,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-019-google-maps-link-ctas.md,"Google Maps deep-link CTAs on place cards"
033,MAP-030,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-030-category-advanced-markers.md,"Category-aware Advanced Markers (café ☕, rental 🏠, event 🎟️)"
034,MAP-031,,"Done",yes,"W1 foundation (shipped)",no,tasks/maps/MAP-031-map-results-panel-grounded-copy.md,"Map results panel copy when grounded cards are visible"
035,SCREEN-001,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/001-scr-home-chat-chrome.md,"Home Chat Chrome (integration)"
036,SCREEN-003,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/003-scr-chat-query-bar.md,"Chat Query Bar + Filter Chips"
037,SCREEN-004,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/004-scr-workflow-progress-strip.md,"Workflow Progress Strip"
038,SCREEN-005,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/005-scr-rental-card-polish.md,"Rental Card Polish + CTAs"
039,SCREEN-006,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/006-scr-event-card-polish.md,"Event Card In-Thread Polish"
040,SCREEN-007,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/007-scr-venue-detail-sheet.md,"Venue / Listing Detail Sheet"
041,SCREEN-008,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/008-scr-schedule-viewing-modal.md,"Schedule Viewing Modal (HITL Lead)"
042,SCREEN-009,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/009-scr-booking-checkout-modal.md,"Booking Checkout Modal + Stripe"
043,SCREEN-011,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/011-scr-saved-collections-page.md,"Saved Collections Page"
044,SCREEN-012,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/012-scr-trips-dashboard.md,"Trips Dashboard"
045,SCREEN-013,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/013-scr-itinerary-panel.md,"Itinerary Panel"
046,SCREEN-014,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/014-scr-event-detail-page.md,"Event Detail Page"
047,SCREEN-015,,"Done",yes,"W1 foundation (shipped)",no,tasks/events/wireframes/015-scr-my-tickets-qr.md,"My Tickets + QR"
048,SCREEN-016,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/016-scr-host-event-wizard.md,"Host Event Wizard UI"
049,SCREEN-019,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/019-scr-loading-error-empty-states.md,"Loading / Error / Empty States"
050,SCREEN-020,,"Done",yes,"W1 foundation (shipped)",no,tasks/screens/020-scr-accessibility-pass.md,"Accessibility Pass (MVP surfaces)"
051,MASTRA-001,,"Done",yes,"W1 foundation (shipped)",no,tasks/mastra/MASTRA-001-core-wiring-smoke.md,"Mastra core wiring smoke — router, workflows, tools"
052,MASTRA-004,,"Done",yes,"W1 foundation (shipped)",no,tasks/mastra/MASTRA-004-ai-runs-audit-coverage.md,"ai_runs user_id + withAudit on all search tools"
053,MASTRA-005,,"Done",yes,"W1 foundation (shipped)",no,tasks/mastra/MASTRA-005-mastra-pr-gate.md,"Mastra PR gate — check:mastra script for mdeapp/src/mastra"
