"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-465","Sanjiovani","MAP-011A — ADK sidecar compute_routes (Grounding Lite MCP)","Replace compute_routes stub with Grounding Lite MCP invoke in ADK sidecar and normalize duration strings — prerequisite for MAP-011 route previews.

**Spec:** `tasks/maps/MAP-011A-adk-compute-routes.md`
**Priority:** P1 — prerequisite for MAP-011
**Depends on:** MAP-002B ✅, MAP-002 ✅
**Blocks:** MAP-011

## Gates

* ADK sidecar calls Grounding Lite compute_routes correctly
* Duration normalized to human-readable (""\~18 min drive"" not raw JSON)
* Unit test for normalization function","Todo","","High","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, track:maps","","","","","2026-06-02T12:27:24.051Z","2026-06-02T12:27:24.051Z","","","","","","","","Phase 1 — mdeai MVP launch","3677d7d6-75dc-46eb-8d88-c1bb75b0fcd8","🗺️ Maps — P1 Hardening","","6e0d4e4e-d0ef-44ec-ae9b-ac88beac4771","8846","","",""
"SAN-105","Sanjiovani","MAP-005 — Places proxy edge + places_cache + RLS","'> **Plain English:** Put all Google Places API calls behind a Supabase edge function with a cache so repeat searches don't bill Google twice.

**Order:** Post-MVP maps depth — after MAP-010 autocomplete; before MAP-006 nearby search.

**Spec:** `tasks/maps/MAP-005-places-proxy-cache.md` · **Depends on:** MAP-004 · **Blocks:** MAP-006, MAP-010

---

Server-only **Places API (New)** via edge function `places-proxy`, cache tables with TTL, RLS — browsers never hold `GOOGLE_MAPS_API_KEY`. Mastra tools call the edge URL.

**Note:** [SAN-229](https://linear.app/sanjiovani/issue/SAN-229/map-011-route-previews-commute-cards) tracks MAP-011 (route previews) separately — this issue is MAP-005 only.","Todo","","High","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:supabase, track:maps","","","","","2026-05-27T05:49:14.206Z","2026-06-03T00:14:12.428Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","2d96050d-321f-4b9e-b86b-5e888c81eed0","17884","","",""
"SAN-106","Sanjiovani","MAP-006 — Nearby Search + Show nearby on RentalCard","'> **Plain English:** Add a ""Show nearby"" button on rental cards that drops café/gym pins around the listing without clearing rental pins.

**Order:** Post-MVP — after MAP-005 places proxy; before MAP-012 neighborhood cards.

**Spec:** `tasks/maps/MAP-006-nearby-search.md` · **Depends on:** MAP-005 · **Blocks:** MAP-012

---

Mastra tool `searchNearbyPlaces` (max 5 results, \~800m radius) via MAP-005 proxy. Merge into `MapContext` under a separate category; rentals/events stay visible.

**Note:** [SAN-230](https://linear.app/sanjiovani/issue/SAN-230/map-012-neighborhood-intelligence-cards) tracks MAP-012 (neighborhood intelligence cards) separately — this issue is MAP-006 only.","Todo","","High","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-05-27T05:49:14.827Z","2026-06-03T00:14:14.319Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","b9422372-1829-48fe-94c5-5d492feb29ae","17884","SAN-103","SAN-107",""
"SAN-104","Sanjiovani","MAP-010 — Place autocomplete for Roberto host venue","## Product code

**MAP-004** — Place autocomplete — Roberto host venue

| Traceability | Value |
| -- | -- |
| Linear | SAN-104 |
| Spec | `MAP-010` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Server-proxied **Place Autocomplete (New)** for the host event wizard: debounced input, **session token** per wizard session, Colombia region bias, field mask on suggestions — **zero** Places API key in the browser bundle.

## Goals

Server-proxied **Place Autocomplete (New)** for the host event wizard: debounced input, **session token** per wizard session, Colombia region bias, field mask on suggestions — **zero** Places API key in the browser bundle.

## Features

* Implement **Place autocomplete — Roberto host venue** per spec

## Real-world example

Server-proxied **Place Autocomplete (New)** for the host event wizard: debounced input, **session token** per wizard session, Colombia region bias, field mask on suggestions — **zero** Places API key in the browser bundle.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `MAP-010` |
| Spec | `tasks/maps/MAP-010-place-autocomplete-venue.md` |
| Type | screen build spec |
| Repo status | Not Started |
| Priority | P1 |
| Phase | mvp |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo","","High","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-05-27T05:49:13.513Z","2026-06-02T12:26:51.204Z","","","","","","","","Phase 1 — mdeai MVP launch","3677d7d6-75dc-46eb-8d88-c1bb75b0fcd8","🗺️ Maps — P1 Hardening","","ff60d4ae-6fe1-4ddf-b850-310611cf792a","17884","SAN-102","",""
"SAN-466","Sanjiovani","MAP-034 — Advanced marker UX polish — selection, badges, mobile, a11y","Harden AdvancedMarker UX: selected state rings, price badges, mobile bottom sheet, and accessibility labels. Post-MVP refinement.

**Spec:** `tasks/maps/MAP-034-advanced-marker-ux-polish.md`
**Priority:** P2 — post-MVP
**Depends on:** MAP-008 ✅, MAP-009 ✅, MAP-030 ✅

## Gates

* Selected marker shows ring/highlight state
* Price badge visible on rental/event markers
* Mobile bottom sheet opens on marker tap
* aria-label on all AdvancedMarkers
* No DEMO_MAP_ID warning","Todo","","Medium","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-06-02T12:27:28.103Z","2026-06-02T12:27:28.103Z","","","","","","","","Phase 1 — mdeai MVP launch","b9e3059d-b535-402e-a756-3c1beedb3f81","🔮 Vectors & Rerank","","cef40086-b3e5-47a2-bb53-df3f4251d94c","8846","","",""
"SAN-230","Sanjiovani","MAP-012 — Neighborhood intelligence cards","## Product code

**MAP-012** — Neighborhood news search (Search fallback)

| Traceability | Value |
| -- | -- |
| Linear | SAN-230 |
| Spec | `GS-008` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `GS-008`
**Spec:** `tasks/grounding-search/tasks/GS-008-neighborhood-news-search.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 2.1
**Depends on:** MAP-002D, MAP-012A

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo","","Medium","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-05-27T05:58:19.398Z","2026-06-02T12:26:59.989Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","72c94957-a190-4e93-87c5-0ac41e2ea0dc","17875","","SAN-107",""
"SAN-229","Sanjiovani","MAP-011 — Route previews + commute cards","## Product code

**MAP-011** — Restaurant opening / closure verification (Search)

| Traceability | Value |
| -- | -- |
| Linear | SAN-229 |
| Spec | `GS-007` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `GS-007`
**Spec:** `tasks/grounding-search/tasks/GS-007-restaurant-closure-verify.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 2.1
**Depends on:** MAP-002D, MAP-006

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo","","Medium","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-05-27T05:58:18.858Z","2026-06-02T12:26:58.609Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","a98a9b1f-c94f-4ddd-8dc6-5770d307c642","17875","SAN-103","",""
"SAN-101","Sanjiovani","MAP-002A — ADK LlmAgent + McpToolset package (Phase 2)","## Product code

**MAP-001** — ADK LlmAgent + McpToolset package (Phase 2 follow-up)

| Traceability | Value |
| -- | -- |
| Linear | SAN-101 |
| Spec | `MAP-002A-ADK` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Replace or wrap the thin FastAPI handler with an official **ADK** `LlmAgent` **+** `McpToolset` layout (per `travel-planner-google-maps-mcp` sample) while keeping the **same JSON contract** in [`plan/ADK/sidecar-api-contract.md`](<../../plan/ADK/sidecar-api-contract.md>).

## Goals

Replace or wrap the thin FastAPI handler with an official **ADK** `LlmAgent` **+** `McpToolset` layout (per `travel-planner-google-maps-mcp` sample) while keeping the **same JSON contract** in [`plan/ADK/sidecar-api-contract.md`](<../../plan/ADK/sidecar-api-contract.md>).

## Features

* Implement **ADK LlmAgent + McpToolset package (Phase 2 follow-up)** per spec

## Real-world example

Replace or wrap the thin FastAPI handler with an official **ADK** `LlmAgent` **+** `McpToolset` layout (per `travel-planner-google-maps-mcp` sample) while keeping the **same JSON contract** in [`plan/ADK/sidecar-api-contract.md`](<../../plan/ADK/sidecar-api-contract.md>).

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `MAP-002A-ADK` |
| Spec | `tasks/maps/MAP-002A-ADK-agent-package.md` |
| Type | screen build spec |
| Repo status | Not started |
| Priority | P2 |
| Phase | Phase 2 — maps intelligence hardening |
| Depends on | \[MAP-002\] |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo","","Medium","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:phase2, prefix:MAP, stack:maps, track:maps","","","","","2026-05-27T05:49:09.622Z","2026-06-02T12:27:01.796Z","","","","","","","","Phase 1 — mdeai MVP launch","b9e3059d-b535-402e-a756-3c1beedb3f81","🔮 Vectors & Rerank","","6e67b0f6-cbd4-46b6-a9bf-e208cf849e96","17884","","",""
"SAN-107","Sanjiovani","MAP-012A — Colombia coverage spike — Places Aggregate vs Insights","## Product code

**MAP-007** — Colombia coverage spike — Places Aggregate vs Insights

| Traceability | Value |
| -- | -- |
| Linear | SAN-107 |
| Spec | `MAP-012A` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Colombia coverage spike — Places Aggregate vs Insights — see spec for full scope.

## Goals

Colombia coverage spike — Places Aggregate vs Insights — see spec for full scope.

## Features

* Implement **Colombia coverage spike — Places Aggregate vs Insights** per spec
* Unblocks: \[MAP-012\]

## Real-world example

When shipped, a user can complete **Colombia coverage spike — Places Aggregate vs Insights** on mdeai without workarounds.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `MAP-012A` |
| Spec | `tasks/maps/MAP-012A-colombia-aggregate-insights-spike.md` |
| Type | screen build spec |
| Repo status | Not Started |
| Priority | P2 |
| Phase | Post-MVP gate |
| Depends on | \[MAP-004\] |
| Evidence | `../notes/MAP-012A-spike-evidence.md` |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo","","Medium","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, track:maps","","","","","2026-05-27T05:49:15.483Z","2026-06-02T12:26:55.703Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","9be8eeda-486e-4586-bd82-91b9850336ab","17884","","",""
"SAN-108","Sanjiovani","MAP-023 — Static Maps API — event location previews + OG images","## Product code

**MAP-008** — Static Maps API — event location previews + OG images

| Traceability | Value |
| -- | -- |
| Linear | SAN-108 |
| Spec | `MAP-023` |
| Prefix | MAP |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Static Maps API — event location previews + OG images — see spec for full scope.

## Goals

Static Maps API — event location previews + OG images — see spec for full scope.

## Features

* Implement **Static Maps API — event location previews + OG images** per spec

## Real-world example

When shipped, a user can complete **Static Maps API — event location previews + OG images** on mdeai without workarounds.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `MAP-023` |
| Spec | `tasks/maps/MAP-023-static-maps-event-previews.md` |
| Type | screen build spec |
| Repo status | Not Started |
| Priority | P3 |
| Phase | Post-MVP marketing |
| Depends on | \[MAP-004\] |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo","","Low","40fd1312-4522-4739-9ae1-6d65e68b5714","Discovery Platform","ai@socialmediaville.ca","","phase:post-mvp, prefix:MAP, stack:maps, stack:nextjs, track:maps","","","","","2026-05-27T05:49:16.358Z","2026-06-02T12:26:56.978Z","","","","","","","","Phase 1 — mdeai MVP launch","826c4c00-bd2c-4c3f-84f5-7da6c6d0702f","🔮 Search — Grounding","","47d3b65b-3c16-4699-bac8-e97868f6b1df","17884","","",""
