"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-795","Sanjiovani","VEN-020 — venue_bookings schema + RLS: booking lifecycle + idempotency + audit","## Summary

Create the `venue_bookings` table with full lifecycle states, RLS policies for host/owner access, idempotency key, and integration with `audit_logs`. Unblocks `requestVenueBooking` tool and `check_availability` read queries.

## Done when

- [ ] Migration at `supabase/migrations/YYYYMMDD_venue_bookings.sql` with:
  - `venue_bookings(id uuid PK, venue_id uuid FK venues, host_id uuid FK auth.users, date date, time_start time, time_end time, guests int, status text, cost_estimate numeric, deposit_amount numeric, idempotency_key text UNIQUE, notes text, created_at timestamptz)`
  - Status enum: `pending | approved | rejected | cancelled | completed`
  - Constraint: `idempotency_key = sha256(venue_id || host_id || date || time_start)`
- [ ] RLS enabled; policies:
  - `host_owns_bookings`: host can INSERT own bookings; SELECT/UPDATE own rows
  - `owner_sees_venue_bookings`: venue owner can SELECT + UPDATE bookings for their venues
  - `admin_all_bookings`: admin role sees all
- [ ] `supabase db push` applied to project `zkwcbyxiwklihegjhuql`
- [ ] Vitest: host cannot read another host's bookings; owner can read own venue's bookings

## Implementation notes

* Idempotency key prevents double-booking on network retry: `sha256(venue_id || host_id || date || time_start)` — insert with `ON CONFLICT (idempotency_key) DO NOTHING`
* Lifecycle state machine: `pending` → `approved` (owner action) → `completed` (post-event); OR `pending` → `rejected`/`cancelled` (either party)
* `audit_logs` integration: trigger or application-level write on every status change — `action: ""venue_booking_status_changed""`, `payload: { from_status, to_status }`
* `cost_estimate` and `deposit_amount` stored at booking time — not recomputed on read (price may change)

## Critical rules

* RLS is mandatory — owner must NOT see bookings from other venues; host must NOT see another host's bookings
* `idempotency_key` UNIQUE constraint prevents race conditions from double-submit
* `deposit_amount` is informational at booking time — actual charge happens in Stripe after owner approval

## References

* Skill: `.claude/skills/mde-supabase`
* Blocked by: DATA-VEN-001 (venues table must exist)
* Blocks: VEN-015 requestVenueBooking tool, VEN-010 check_availability
* Related: DATA-001 audit_logs (SAN-756), WF-004 venueShortlistWorkflow (SAN-747)","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"track:ai",,,,,"2026-06-08T14:08:23.964Z","2026-06-08T14:08:24.768Z",,,,,,"2026-06-15T14:08:24.765Z",,"Phase 1 — mdeai MVP launch","c5568997-f473-41ce-9593-fbfcf8bf41ad","🍽️ Venues UI & Booking","MediumRisk","a365d645-e002-4755-8ebe-cac19a509942",106,"","",
"SAN-794","Sanjiovani","VEN-015 — requestVenueBooking HITL: Mastra tool + CopilotKit generative booking card","## Summary

Implement the `requestVenueBooking` HITL Mastra tool and its matching CopilotKit generative card. When Roberto (or any event host) confirms a venue shortlist, the agent surfaces a booking confirmation card — no auto-submission until the host clicks ""Send Request"".

## Done when

- [ ] `requestVenueBooking(venue_id, date, time_start, time_end, guests, notes)` tool uses `renderAndWaitForResponse` — suspends until host confirms
- [ ] HITL card shows: venue name, date, time range, guest count, estimated cost (`hours × price_per_hour`), 30% deposit amount, ""This sends a request to \[owner_name\]"" note
- [ ] On `respond({ confirmed: true })`: writes row to `venue_bookings` with `status: 'pending'`; owner notified (Supabase realtime or edge function)
- [ ] On `respond({ confirmed: false })`: tool returns cancelled state; no write
- [ ] `useCopilotAction({ name: ""requestVenueBooking"", available: ""disabled"", render: BookingHITLCard })` mirrors the HITL in chat
- [ ] `BookingHITLCard` renders: venue photo, all booking details, \[✅ Send Request\] and \[✕ Cancel\] buttons
- [ ] Audit log: every `respond({ confirmed: true })` writes to `audit_logs(action: ""venue_booking_requested"", user_id, entity_id: venue_id, payload: { date, guests, cost_estimate })`
- [ ] Vitest: `requestVenueBooking` suspends until `respond()` called; `venue_bookings` row exists after confirm; no row after cancel

## Implementation notes

* Pre-fill from working memory: if `MdeState.eventDraft` has `date` and `expected_capacity`, pass them as defaults to the HITL card
* Cost estimate: `Math.ceil((time_end - time_start) / 3600) * venue.price_per_hour`; deposit = `cost_estimate * 0.30`
* Idempotency: check for existing `venue_bookings` row before writing (same venue_id + date + host_id) to prevent double-submit on retry
* Owner notification: POST to `/api/notifications/venue-booking-request` — does NOT charge deposit at this step (approval flow)

## Critical rules

* `requestVenueBooking` MUST use `renderAndWaitForResponse` — never auto-submit booking without explicit host confirmation
* Deposit is NOT charged at booking request time — only after owner approves (charged via Stripe in a follow-up step)
* Audit log write is mandatory — no silent booking mutations
* Every `<AdvancedMarker>` on the venue detail page must use `getMapId()` (SAN-788)

## References

* Wireframe: `docs/wireframes/venues/002-venue-details.md` (Booking Request HITL section)
* Skill: `.claude/skills/mastra`, `.claude/skills/copilotkitV1`
* Blocked by: VEN-010 (venueAgent tools), VEN-020 (venue_bookings schema)
* Related: WF-004 venueShortlistWorkflow (SAN-747), DATA-001 audit_logs RLS (SAN-756)","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"MAS, track:ai",,,,,"2026-06-08T14:08:11.536Z","2026-06-08T14:08:12.264Z",,,,,,"2026-06-15T14:08:12.257Z",,"Phase 1 — mdeai MVP launch","c5568997-f473-41ce-9593-fbfcf8bf41ad","🍽️ Venues UI & Booking","MediumRisk","e9630f28-a60b-4995-a6c5-6c8575a2183d",106,"","",
"SAN-793","Sanjiovani","VEN-010 — venueAgent Mastra tools: search_venues + get_venue_details + check_availability","## Summary

Implement the three core Mastra tools for `venueAgent` (already registered at SAN-740): `search_venues`, `get_venue_details`, and `check_availability`. These power the venue shortlist flow on `/venues` — Roberto describes his event, agent returns ranked venue cards with AI pick reasons.

## Done when

- [ ] `search_venues(query, capacity, type, amenities[])` tool queries Supabase `venues` table + optional Places API enrichment; returns `VenueResult[]` with `ai_pick_reason` (e.g. ""Best catering match for 250 guests"")
- [ ] Results update `MdeState.mapPins[]` with `entity_type: ""venue""`, gray pin color
- [ ] `get_venue_details(venue_id)` returns full venue record: amenities, pricing tiers (Mon–Thu/Fri–Sun), capacity range, owner profile
- [ ] `check_availability(venue_id, date, duration_hours)` queries `venue_bookings` table for conflicts; returns `{ available: boolean, next_available: string | null }`
- [ ] `useCopilotAction({ name: ""search_venues"", available: ""disabled"", render })` renders `VenueCard` in chat with \[View\] \[Shortlist\] \[Inquire\] buttons
- [ ] `useCopilotAction({ name: ""get_venue_details"", available: ""disabled"", render })` renders venue detail card
- [ ] `routerAgent` routes `""venue_search""` and `""venue_booking""` intent to `venueAgent`
- [ ] Vitest: `search_venues({ capacity: 250, type: ""rooftop"" })` returns ≥1 result with `ai_pick_reason` non-null

## Implementation notes

* `ai_pick_reason`: agent generates a one-line reason by comparing event context (from working memory `MdeState.eventDraft`) with venue amenities — ""Best catering match for your jazz event type""
* `VenueResult` type: `{ id, name, type, neighborhood, capacity_max, price_per_hour, amenities: string[], rating, ai_pick_reason, ai_score }`
* Shortlist: up to 3 venues stored in `MdeState.venueShortlist[]`; `useCopilotReadable` exposes shortlist to agent for comparison
* `check_availability` must check `venue_bookings WHERE venue_id = ? AND date = ? AND status != 'cancelled'`

## Critical rules

* Gray pin color for venue markers (wireframe `consumer/004-explore-map.md`)
* Every `<AdvancedMarker>` needs `mapId` on parent `<Map>` — use `getMapId()` from MAP-008B (SAN-788)
* `check_availability` is read-only — no writes; `requestVenueBooking` (VEN-015) handles the write path

## References

* Wireframe: `docs/wireframes/venues/001-venue-search.md`, `002-venue-details.md`
* Skill: `.claude/skills/mastra`, `.claude/skills/copilotkitV1`, `.claude/skills/mde-maps`
* Blocked by: DATA-VEN-001 (seed data), venueAgent foundation (SAN-740)
* Related: VEN-015 booking HITL, WF-004 venueShortlistWorkflow (SAN-747)","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"MAS, track:ai",,,,,"2026-06-08T14:07:44.698Z","2026-06-08T14:07:47.652Z",,,,,,"2026-06-15T14:07:47.587Z",,"Phase 1 — mdeai MVP launch","c5568997-f473-41ce-9593-fbfcf8bf41ad","🍽️ Venues UI & Booking","MediumRisk","b9adcb19-d750-47c6-83c0-1ff25aee4247",106,"","",
"SAN-792","Sanjiovani","DATA-VEN-001 — Venue + restaurant + nightlife data seed: Places API backfill cron","## Summary

Seed the `venues`, `restaurants`, and `nightlife` tables with real Medellín inventory by running a Places API backfill — fetching top venues by category from El Poblado, Laureles, and El Centro neighborhoods. Without this data, venueAgent returns empty results.

## Done when

- [ ] `scripts/seed-venues.ts` fetches from Places API New `searchNearby` for each combination of `(neighborhood, type)`:
  - `type: ""event_venue""` → `venues` table
  - `type: ""restaurant""` → `restaurants` table
  - `type: ""night_club"" | ""bar""` → `nightlife` table
- [ ] `X-Goog-FieldMask: places.id,places.displayName,places.formattedAddress,places.location,places.rating,places.priceLevel,places.regularOpeningHours` on every fetch
- [ ] Upsert on `external_id = places.id` — idempotent, safe to re-run
- [ ] Minimum seeded: 10 venues, 20 restaurants, 10 nightlife in El Poblado + Laureles
- [ ] `supabase/seeds/venues.sql` generated from script output for deterministic test fixtures
- [ ] Supabase scheduled cron (`pg_cron` or Vercel cron) refreshes stale records weekly
- [ ] RLS: anon can SELECT `status = 'active'` rows; only service-role INSERT/UPDATE
- [ ] Vitest: `venues` table has ≥1 row with `neighborhood = 'El Poblado'` after seed

## Implementation notes

* Neighborhoods to seed: El Poblado, Laureles, El Centro (the 3 most tourist-dense)
* Rate limit: 10 req/s on Places API New — batch with 100ms delay between calls
* `priceLevel` mapping: Places `PRICE_LEVEL_INEXPENSIVE` → `$`, `MODERATE` → `$$`, `EXPENSIVE` → `$$$`
* Store `places_id` (Google's ID) as `external_id` for future re-enrichment without re-search
* The cron refresh should only update `rating`, `regularOpeningHours.openNow` — not change `name` or `address` (to preserve manual edits)

## Critical rules

* `X-Goog-FieldMask` required — do not request `photos`, `reviews`, or `websiteUri` unless a UI component displays them (those SKUs are billed separately)
* Backfill script runs with service-role key — must be in `scripts/`, never `src/`
* Seed data is test infrastructure — do NOT commit real `places_id` values to version control (they could change)

## References

* Skill: `.claude/skills/mde-maps`, `.claude/skills/mde-supabase`
* Related: venueAgent tools VEN-010, SEARCH-001 (SAN-790), MAP-005 FieldMask audit (SAN-776)
* Wireframe: `docs/wireframes/venues/001-venue-search.md`","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"track:ai",,,,,"2026-06-08T14:07:26.884Z","2026-06-08T14:07:28.224Z",,,,,,"2026-06-15T14:07:28.161Z",,"Phase 1 — mdeai MVP launch","965e980f-9946-4be1-83f0-a1d14de7d589","🍽️ Data Foundation","MediumRisk","644e2cc6-6c54-476f-89ac-e42e8c5dd606",106,"","",
"SAN-559","Sanjiovani","VEN — Nightlife VIP table booking + Stripe deposit","## Improvement task — Nightlife VIP deposit

**Canonical owner (deferred R2):** C10 — `tasks/revenue/C10-nightlife-vip-deposit.md` (import after [SAN-551](https://linear.app/sanjiovani/issue/SAN-551/rev-c2-create-checkout-tool-checkout-widget)).

VIP table Stripe deposit flow. Merge with C10 spec when R2 imports; blocked on create_checkout.

Also depends on checkout widget ([SAN-563](https://linear.app/sanjiovani/issue/SAN-563/ck-shared-in-chat-checkout-applegoogle-pay-wallet-widget) / [SAN-551](https://linear.app/sanjiovani/issue/SAN-551/rev-c2-create-checkout-tool-checkout-widget) UI scope).","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"area:venues, phase:post-mvp, prefix:VEN, stack:stripe, stack:supabase",,,,,"2026-06-05T18:52:35.109Z","2026-06-05T19:24:10.456Z",,,,,,"2026-06-12T18:52:36.023Z",,"Phase 1 — mdeai MVP launch",,,"MediumRisk","079b689f-e0e0-47eb-9adf-22ca30e8d80b",4135,"SAN-551","SAN-563",
"SAN-560","Sanjiovani","VEN — Restaurant reservation management + confirmation/no-show loop","## Improvement task — Restaurants

**Canonical owner (deferred R4):** M7 — [spec](<https://github.com/amo-tech-ai/mdeai/blob/main/tasks/revenue/M7-restaurant-reservation-management.md>) (import after [SAN-551](<https://linear.app/sanjiovani/issue/SAN-551>) / R2 batch).

Venue inbox/calendar, WhatsApp confirmation loop, no-show handling — merge with M7 when R4 imports; blocked on `create_checkout` + C7 WhatsApp confirm.

**Roadmap context:** [improvement roadmap](<https://github.com/amo-tech-ai/mdeapp/blob/main/docs/prd/mde-ai-improvement-roadmap.md>) Phase 1 · [dashboard](<https://github.com/amo-tech-ai/mdeapp/blob/main/docs/dashboard.md>)

## Acceptance (defer to M7 spec)

- [ ] Venue can confirm/decline; diner notified.
- [ ] No-show + cancel states tracked.","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"area:venues, phase:post-mvp, prefix:VEN, stack:supabase, stack:whatsapp, track:venues",,,,,"2026-06-05T18:52:41.565Z","2026-06-05T19:10:43.935Z",,,,,,"2026-06-12T18:52:43.285Z",,"Phase 1 — mdeai MVP launch",,,"MediumRisk","7386953f-f962-45d2-9f25-6525bb93aa55",4123,"SAN-551","",
"SAN-311","Sanjiovani","VEN-032 — Admin booking queue (/admin/bookings)","## Product code

**VEN-032** — Admin booking queue (/admin/bookings)

| Traceability | Value |
| -- | -- |
| Linear | [SAN-311](https://linear.app/sanjiovani/issue/SAN-311/ven-032-admin-booking-queue-adminbookings) |
| Spec | `VEN-024` |
| Prefix | VEN |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Summary

Queue of pending venue booking requests with approve/edit/reject for WA drafts.

## User journey

1. Patricia opens admin bookings.
2. Reviews Tourist's club request + draft message.
3. Approves → triggers outbox (CAF-016).

## Frontend work

* Filter by venue_kind and status
* Preview whatsapp_draft
* Link to place detail

## Backend / Supabase work

Patricia approval → CAF-016

## Agent / CopilotKit / Mastra work

None

## Tech stack

Next.js 16, React 19, Tailwind 4, shadcn/ui, CopilotKit 1.55.2, Mastra, Gemini, Supabase, Google Maps, Places API, Stripe where relevant, Playwright.

Gemini must not invent venue facts, booking state, payment truth, Places details, ratings, coordinates, WhatsApp send status, or trip/tour truth.

## Dependencies

* VEN-023

## Acceptance criteria

> Authored 2026-06-08 from disk spec `tasks/venues/tasks/mvp/024-ven-admin-booking-queue.md` (see DESIGN-LINEAR-AUDIT.md).

- [ ] `/admin/bookings` gated to admin role; non-admin → 403.
- [ ] Lists `venue_booking_requests` filterable by `venue_kind` + status (pending/sent/needs_user) via DataTable.
- [ ] Row → preview `whatsapp_draft`; edit before send; link to place detail.
- [ ] Approve updates status + enqueues outbox (CAF-016); RLS UPDATE policy present (User A ≠ admin proof).
- [ ] Admin-fixture Playwright; `floor` exit 0.

## Do not do

*Not specified in source task.*

## Tracking

* IMP: IMP-166
* Task ID: VEN-024
* Legacy ID: n/a
* Source: tasks/venues/tasks/mvp/024-ven-admin-booking-queue.md
* Repo status: Not Started
* Priority: P1
* Milestone: P1.5 — Venues MVP
* Persona: Patricia (admin)
* Surface: `/admin/bookings`

*Source markdown file is the source of truth.*","Backlog",,"High","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"phase:mvp, prefix:VEN, scr, stack:maps, stack:supabase, track:venues",,,,,"2026-05-28T18:31:18.249Z","2026-06-08T06:21:33.472Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"dde36000-e737-4b4a-8d73-187ea4aa0ebe",730,"","SAN-310",
"SAN-797","Sanjiovani","VEN-032 — Concierge venue instructions + working memory slots for venue preferences","## Summary

Extend `MdeState` working memory with venue preference slots and add venue-aware instructions to `conciergeAgent` and `venueAgent`. Camila saying ""I prefer outdoor venues under $100/hr"" should be remembered across sessions and auto-applied to future venue searches.

## Done when

- [ ] `MdeState` Zod schema extended with `venuePreferences: { type?: string, capacity_min?: number, price_max_per_hour?: number, amenities?: string[], neighborhoods?: string[] }` — updated in THREE places: Mastra agent file, `src/lib/types.ts`, `packages/types/src/`
- [ ] `venueAgent` reads `MdeState.venuePreferences` as defaults for `search_venues` — if user has `type: ""outdoor""`, pass as default filter without re-asking
- [ ] `conciergeAgent` system prompt updated with venue instruction block: ""If user mentions venue preferences, call `update_venue_preferences` tool to persist them""
- [ ] `update_venue_preferences(prefs)` Mastra tool writes to `MdeState.venuePreferences` and persists to `user_preferences.venue_json` column in Supabase
- [ ] `/me/profile` Preference Form extended with venue section: type selector, price/hr max slider, amenity checkboxes (per wireframe `consumer/003-user-profile.md` pattern)
- [ ] Vitest: after `update_venue_preferences({ type: ""rooftop"", price_max_per_hour: 100 })`, next `search_venues` call uses those defaults without being told again

## Implementation notes

* Follow the exact `UserPreferences` pattern from `consumer/003-user-profile.md` — add `venue_type`, `venue_price_max_per_hour`, `venue_amenities` columns to `user_preferences` table (or extend `preferences` jsonb column)
* Working memory sync: on session start, seed `MdeState.venuePreferences` from `user_preferences.venue_json` if working memory is empty (same pattern as rental preferences)
* Schema change touches THREE places — Zod in agent, TS type in `src/lib/types.ts`, `packages/types/src/` — miss one and `useCoAgent` type inference breaks

## Critical rules

* Working memory schema changes MUST update all three files atomically — stale type in any one location causes `useCoAgent` type mismatch (see CLAUDE.md Architecture Invariants)
* `update_venue_preferences` is a write tool — HITL not required (preference saves are low-stakes), but no service-role key access

## References

* Wireframe: `docs/wireframes/consumer/003-user-profile.md` (Preference Form section)
* Skill: `.claude/skills/mastra`, `.claude/skills/copilotkitV1`
* Blocked by: VEN-010 (venueAgent tools must exist before preferences slot in)
* Related: rentalAgent working memory (SAN-750), AGT-02 resource memory (SAN-597)","Backlog",,"Medium","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"MAS, track:ai",,,,,"2026-06-08T14:09:02.635Z","2026-06-08T14:09:02.635Z",,,,,,,,"Phase 1 — mdeai MVP launch","7e8f026e-0ae6-4d49-b5bd-edecdeb8b918","🔮 Venues Post-MVP",,"42eb2bcc-3a23-473a-9714-97e7e14f361d",105,"","",
"SAN-796","Sanjiovani","VEN-025 — Playwright e2e: venue search → shortlist → booking HITL flow","## Summary

End-to-end Playwright test for Roberto's venue search + shortlist + booking request flow: chat intent → `venueAgent` returns venue cards → shortlist comparison panel → `requestVenueBooking` HITL confirm → booking row created.

## Done when

- [ ] Test file at `e2e/venues/venue-booking-hitl.spec.ts`
- [ ] Navigates to `/venues` as authenticated Roberto user
- [ ] Types: ""Find a rooftop venue in El Poblado for 250 guests with AV system""
- [ ] Asserts ≥1 `VenueCard` appears in chat with `data-testid=""venue-card""`
- [ ] Asserts gray venue pin appears on map (`data-testid=""map-pin-venue""`)
- [ ] Clicks ""Shortlist"" on first result → asserts shortlist panel shows venue name
- [ ] Clicks ""Inquire"" → `BookingHITLCard` appears with venue name, date, estimated cost
- [ ] Fills date picker and clicks ""✅ Send Request""
- [ ] Asserts `venue_bookings` row exists with `status: 'pending'` (via Supabase query in test)
- [ ] Test passes in CI with `npx playwright test e2e/venues/venue-booking-hitl.spec.ts`

## Implementation notes

* Seed: test requires DATA-VEN-001 seed data with ≥1 venue in El Poblado with `amenities` including ""av_system""
* Auth: Roberto test account authenticated via Supabase magic link in `globalSetup`
* HITL timing: `page.waitForSelector('[data-testid=""booking-hitl-card""]', { timeout: 15000 })`
* Map pin assertion: gray pin color — `data-testid=""map-pin-venue""` or CSS class check
* DB assertion: use Supabase anon client with Roberto's JWT to verify booking row

## Critical rules

* Must run against localhost with `npm run dev` — per CLAUDE.md ""localhost runtime proof required for Done""
* Test must assert the `venue_bookings` row was actually written — not just that the UI showed success
* HITL confirm must be via UI click, not direct API call

## References

* Wireframe: `docs/wireframes/venues/001-venue-search.md`, `002-venue-details.md`
* Skill: `.claude/skills/testing`
* Blocked by: VEN-010, VEN-015, VEN-020 must all ship first
* Related: TEST-001 Roberto event creation (SAN-754), WF-004 venueShortlistWorkflow (SAN-747)","Backlog",,"Medium","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"track:ai",,,,,"2026-06-08T14:08:36.862Z","2026-06-08T14:08:36.862Z",,,,,,,,"Phase 1 — mdeai MVP launch","c5568997-f473-41ce-9593-fbfcf8bf41ad","🍽️ Venues UI & Booking",,"51d9a7b6-1092-4b57-85f8-c0c484ea34c6",105,"","",
"SAN-547","Sanjiovani","AUTH-009 — JWT → Mastra RequestContext for tools","'> **Plain English:** Camila's booking tool runs as *her* user — not anonymous server identity.

**Queue:** Discovery Beta row 26 · **Spec:** `tasks/data/tasks-data/AUTH-009-jwt-request-context.md`

**Blocks:** VEN-019 CopilotKit HITL booking (row 27) · **Depends:** AUTH-006 patterns

## Scope

1. After `getUser()` in `/api/copilotkit/route.ts`, pass `access_token` into Mastra `RequestContext`
2. Tool layer reads token for RLS-scoped Supabase client
3. One tool migrated end-to-end (e.g. user-scoped booking read)

## Acceptance

- [ ] Signed-in chat turn → tool uses user-scoped client
- [ ] Anonymous chat → catalog tools still work
- [ ] Token never logged
- [ ] `npm run test` pass on touched files

## Refs

* `tasks.md` rows 26–27
* [SAN-302](https://linear.app/sanjiovani/issue/SAN-302/ven-023-requestvenuebooking-copilotkit-action) (VEN-019 HITL) blocked until this ships","Todo",,"Urgent","b742a452-c4f2-41cb-97ba-ef86189adc1a","Venues","ai@socialmediaville.ca",,"phase:mvp, prefix:ATH, stack:copilotkit, stack:mastra, stack:supabase, track:venues",,,,,"2026-06-04T01:26:56.178Z","2026-06-04T01:26:57.921Z",,,,,,"2026-06-05T01:26:57.915Z",,"Phase 1 — mdeai MVP launch",,,"Breached","f6675315-2849-4e35-b721-5a4616ab9503",6627,"SAN-302","",
