"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-384","Sanjiovani","DATA-046 — Golden queries v2 (signal-backed)","**Track:** Intelligence (MIS) · **intel-order:17** · **intel-1b**

**Stack:** supabase

**Layer:** observability

**Spec:** `tasks/data/tasks-data/DATA-046-golden-queries-v2.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**Note:** Phase 1b after MIS-M1 gate

---

# DATA-046 — Golden queries v2

## At a glance

|  |  |
| -- | -- |
| **For** | Lucía · Sofia |
| **Why now** | Phase 1b regression gate after hybrid tools ship |
| **Rule** | SQL expected rows + app smoke must agree |

## Query table (MVP)

| ID | Prompt | Tool | Expected top entities | Signals |
| -- | -- | -- | -- | -- |
| GQ-S01 | quiet rooftop Provenza | search-restaurants | Relato, Sambombi | rooftop ≥0.7 |
| GQ-S02 | romantic cocktails Provenza | search-restaurants | signal-ranked | cocktail_score |
| GQ-S03 | local Colombian not touristy | search-restaurants | hidden_gem boost |  |
| GQ-R01 | digital nomad Laureles quiet | search-rentals | hybrid | digital_nomad |
| GQ-E01 | salsa this weekend Provenza | search-events | hybrid | nightlife |
| GQ-C01 | café strong wifi Laureles | search-grounded-places | Places pins | ADK fallback |
| GQ-N01 | compare Poblado vs Laureles | neighborhood_profiles | prose + profiles |  |

## Deliverables

1. `mdeapp/scripts/intelligence/golden-queries-smoke.ts` — extend beyond GQ-S01
2. `tasks/data/evidence/DATA-046-golden-v2.md` — pass/fail matrix
3. Optional Playwright spec `e2e/intelligence/golden-queries.spec.ts`

## Done gate

| Check | Evidence |
| -- | -- |
| ≥10 queries documented | this file + evidence |
| CI script | exit 0 on main |
| SQL + app agree | no Relato-in-SQL / Places-in-UI mismatch |

## Out of scope

* Gorse / external ranker eval
* Multilingual queries (Phase 2)

## Verify

```bash
cd mdeapp && npx tsx scripts/intelligence/golden-queries-smoke.ts  # expanded
```","Backlog",,"High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca",,"intel-order:17, layer:observability, phase:intel-1b, stack:supabase, track:data, track:intelligence",,,,,"2026-05-30T11:22:39.154Z","2026-06-02T12:44:57.794Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"8b4f7ef6-28ce-465b-81dc-4078733c8153",13232,"SAN-388, SAN-379","SAN-374",
"SAN-343","Sanjiovani","DATA-018 — Event admin ops SQL — exception queue views","**Track:** Data foundation (Tier 4) · **IMP-173** · **data-order:19**

**Spec:** `tasks/data/tasks-data/data-018-event-admin-ops-views.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-018 — event admin ops views

## At a glance

|  |  |
| -- | -- |
| **For** | Patricia |
| **Surface** | `/admin/events` (app task separate) |
| **Layer** | DATA |

## What we're building

Events PRD P1: **admin exception queue**. Prefer **views + SECURITY DEFINER RPC** over new tables.

## Candidate views

| View / RPC | Source tables | Shows |
| -- | -- | -- |
| `v_event_orders_exceptions` | `event_orders`, `events` | `status IN ('failed','expired','pending')` > N minutes |
| `v_event_publish_pending` | `events`, `approval_requests` | draft/unpublished awaiting approval |
| `v_event_checkin_gaps` | `event_orders`, `event_attendees` | paid orders missing attendees |
| `v_event_webhook_idempotency_failures` | `idempotency_keys` | ticket webhook errors (if logged) |

## Goals

1. Document SQL in `tasks/data/evidence/data-018-admin-ops-views.sql`
2. Optional migration creating views with `security_invoker = true` or admin-only RPC
3. RLS: admin role only (`user_roles` or `profiles.role`)
4. Link to future `/admin/events` UI task (events track, not data)

## Acceptance criteria

- [ ] Patricia persona query returns failed/pending rows from live DB
- [ ] No new mutable tables required (views only unless evidence proves need)
- [ ] Pin `search_path` on any SECURITY DEFINER RPC (coordinate data-010)

## Real-world example

Roberto's event shows 3 paid orders but webhook retry stuck — Patricia's queue surfaces the row without SQL console access.","Backlog",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:19, imp:173, track:data",,,,,"2026-05-30T00:31:50.532Z","2026-05-30T10:19:48.557Z",,,,,,,,"Phase 1 — mdeai MVP launch","a6aec707-6ec3-4586-8c11-e381ee65036e","🎟️ Events — Polish",,"f99489fb-3bf1-47bc-bc5c-f1b8eef10765",13883,"SAN-326","",
"SAN-342","Sanjiovani","DATA-016 — events AI content approval columns — vibe tags + summary","**Track:** Data foundation (Tier 4) · **IMP-172** · **data-order:18**

**Spec:** `tasks/data/tasks-data/data-016-events-ai-content-approval-columns.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-016 — events AI content approval columns

## At a glance

|  |  |
| -- | -- |
| **For** | Roberto · Tourist (reads approved only) |
| **Surface** | `/events/[slug]` · event cards |
| **Layer** | DATA |

## Gap (live schema)

`events` already has `tags text[]` and `ai_summary text` — **missing approval gate columns**.

Public SELECT policies on published events would leak unapproved AI text without status fields.

## Proposed migration

```sql
ALTER TABLE public.events
  ADD COLUMN IF NOT EXISTS ai_summary_status text NOT NULL DEFAULT 'none'
    CHECK (ai_summary_status IN ('none','draft','approved')),
  ADD COLUMN IF NOT EXISTS tags_status text NOT NULL DEFAULT 'none'
    CHECK (tags_status IN ('none','draft','approved')),
  ADD COLUMN IF NOT EXISTS ai_content_approved_at timestamptz,
  ADD COLUMN IF NOT EXISTS ai_content_approved_by uuid REFERENCES auth.users(id) ON DELETE SET NULL;
```

Update **public SELECT** policy or view so anon/authenticated readers only see `ai_summary` when `ai_summary_status = 'approved'` (and same for tags), OR enforce in app + document RLS exception for organizer draft reads.

## Acceptance criteria

- [ ] Migration applied; backfill existing rows: if `ai_summary` IS NOT NULL → `draft` or `approved` per product rule
- [ ] RLS or documented app rule: unapproved AI content not public
- [ ] EVP-033 acceptance criteria trace to this schema
- [ ] Evidence: SELECT as anon on draft event hides AI fields

## Real-world example

Roberto's wizard generates vibe tags — stored as `tags` + `tags_status='draft'` until he clicks approve → `approved` and cards render tags.","Backlog",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:18, imp:172, track:data",,,,,"2026-05-30T00:31:49.796Z","2026-05-30T10:19:48.029Z",,,,,,,,"Phase 1 — mdeai MVP launch","a6aec707-6ec3-4586-8c11-e381ee65036e","🎟️ Events — Polish",,"4bb6a800-6436-41bb-853b-32f111880355",13883,"SAN-326","",
"SAN-341","Sanjiovani","DATA-013 — event_qa schema — Ask Host Q&A + moderation","**Track:** Data foundation (Tier 4) · **IMP-171** · **data-order:17**

**Spec:** `tasks/data/tasks-data/data-013-event-qa-schema.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-013 — event_qa schema

## At a glance

|  |  |
| -- | -- |
| **For** | Andrés (asks) · Roberto (approves) |
| **Surface** | `/events/[slug]` · `/host/events` |
| **Layer** | DATA |

## What we're building

Persist guest questions and host-approved answers for **EVP-034** and spam moderation in **EVP-045**.

## Proposed schema (minimal)

```sql
CREATE TABLE public.event_qa (
  id uuid PRIMARY KEY DEFAULT gen_random_uuid(),
  event_id uuid NOT NULL REFERENCES public.events(id) ON DELETE CASCADE,
  asker_user_id uuid REFERENCES auth.users(id) ON DELETE SET NULL,
  question_text text NOT NULL,
  ai_draft_answer text,
  host_answer text,
  status text NOT NULL DEFAULT 'pending'
    CHECK (status IN ('pending','ai_draft','approved','rejected','hidden')),
  moderation_flags jsonb NOT NULL DEFAULT '{}',
  is_public boolean NOT NULL DEFAULT false,
  created_at timestamptz NOT NULL DEFAULT now(),
  updated_at timestamptz NOT NULL DEFAULT now(),
  approved_at timestamptz,
  approved_by uuid REFERENCES auth.users(id) ON DELETE SET NULL
);

CREATE INDEX idx_event_qa_event_status ON public.event_qa (event_id, status);
CREATE INDEX idx_event_qa_event_public ON public.event_qa (event_id) WHERE is_public = true;
```

## RLS (sketch)

* **SELECT public:** `is_public = true AND status = 'approved'`
* **SELECT organizer:** event `organizer_id = (SELECT auth.uid())`
* **INSERT authenticated:** own question on published events
* **UPDATE organizer/admin:** approve/reject only
* **service_role:** edge commit path if used

## Acceptance criteria

- [ ] Migration in `supabase/migrations/`
- [ ] RLS enabled + ≥4 policies; MCP advisor clean for this table
- [ ] `is_public = false` until `status = 'approved'`
- [ ] Evidence SQL proves anon cannot read pending rows
- [ ] EVP-034/045 reference this task as schema dependency

## Out of scope

* CopilotKit UI, Mastra prompts (EVP-034 app task)","Backlog",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:17, imp:171, track:data",,,,,"2026-05-30T00:31:48.927Z","2026-05-30T10:19:47.550Z",,,,,,,,"Phase 1 — mdeai MVP launch","a6aec707-6ec3-4586-8c11-e381ee65036e","🎟️ Events — Polish",,"9bf5e516-ebdf-4b8d-9caa-24f0599ad664",13883,"SAN-326","",
"SAN-359","Sanjiovani","DATA-033 — route_cache schema + RLS + TTL","**Track:** Data foundation (Tier 4) · **IMP-189** · **data-order:35**

**Spec:** `tasks/data/tasks-data/data-033-route-cache-schema.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-033 — route_cache schema

## Forensic gap (audit 2026-05-27)

| Item | Today | Blocker |
| -- | -- | -- |
| `route_cache` table | ❌ missing | MAP-011 repeat route queries bill MCP every time |
| `grounding_quota_log` | ✅ | Quota only — no response cache |

## Migration (sketch)

```sql
CREATE TABLE IF NOT EXISTS public.route_cache (
  id              uuid        PRIMARY KEY DEFAULT gen_random_uuid(),
  route_hash      text        NOT NULL,
  origin_key      text        NOT NULL,
  destination_key text        NOT NULL,
  travel_mode     text        NOT NULL DEFAULT 'DRIVE',
  payload         jsonb       NOT NULL,
  created_at      timestamptz NOT NULL DEFAULT now(),
  expires_at      timestamptz NOT NULL DEFAULT (now() + interval '24 hours'),
  CONSTRAINT route_cache_route_hash_key UNIQUE (route_hash)
);

CREATE INDEX IF NOT EXISTS idx_route_cache_route_hash
  ON public.route_cache (route_hash);

CREATE INDEX IF NOT EXISTS idx_route_cache_expires_at
  ON public.route_cache (expires_at);

ALTER TABLE public.route_cache ENABLE ROW LEVEL SECURITY;

CREATE POLICY ""service_role_select_route_cache""
  ON public.route_cache FOR SELECT TO service_role USING (true);
CREATE POLICY ""service_role_insert_route_cache""
  ON public.route_cache FOR INSERT TO service_role WITH CHECK (true);
CREATE POLICY ""service_role_update_route_cache""
  ON public.route_cache FOR UPDATE TO service_role USING (true);
CREATE POLICY ""service_role_delete_route_cache""
  ON public.route_cache FOR DELETE TO service_role USING (true);
```

**Cache key:** `sha256(origin_lat,lng|dest_lat,lng|travelMode|maskVersion)`

**TTL:** 24h default (commute answers stale quickly; tune in MAP-011).

## RLS

* **service_role only** — same pattern as `places_search_cache`
* No anon/authenticated writes
* Read via ADK sidecar or future edge — never browser

## App follow-up (MAP-011, not this task)

* ADK sidecar write-through on `compute_routes` MCP miss
* Parse duration strings `""180s""` in Mastra — not in migration

## Acceptance criteria

- [ ] Migration applied on remote
- [ ] RLS enabled + 4 service_role policies
- [ ] Documented in MAP-011 § cache
- [ ] Evidence: `tasks/data/evidence/data-033-route-cache.md`
- [ ] No service role in `mdeapp/src/**` except F13 carve-out paths","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:35, imp:189, track:data",,,,,"2026-05-30T00:32:03.760Z","2026-05-30T10:19:57.302Z",,,,,,,,"Phase 1 — mdeai MVP launch","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","🗺️ Maps — Growth",,"9ebe2c52-a060-49d8-81de-a7deea411c9d",13883,"SAN-329","",
"SAN-358","Sanjiovani","DATA-032 — mastra_threads trip_id metadata index","**Track:** Data foundation (Tier 4) · **IMP-188** · **data-order:34**

**Spec:** `tasks/data/tasks-data/data-032-mastra-threads-trip-metadata-index.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-032 — mastra_threads trip metadata index

## MVP pattern

Trip-scoped chat uses `mastra_threads.metadata->>'trip_id'` (no dedicated column).

## Migration (POST-MVP / when thread volume warrants)

```sql
CREATE INDEX CONCURRENTLY IF NOT EXISTS idx_mastra_threads_trip_id_metadata
  ON public.mastra_threads ((metadata->>'trip_id'))
  WHERE metadata->>'trip_id' IS NOT NULL;
```

## Phase 2 alternative

```sql
ALTER TABLE public.mastra_threads
  ADD COLUMN trip_id uuid REFERENCES public.trips(id) ON DELETE SET NULL;
```

Only if expression index insufficient — **do not** add column for MVP.

## Acceptance criteria

- [ ] Index applied OR explicit defer note in TRIP-001 evidence
- [ ] Query plan documented for ""threads for trip X""","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:34, imp:188, track:data",,,,,"2026-05-30T00:32:03.208Z","2026-05-30T10:19:56.808Z",,,,,,,,"Phase 1 — mdeai MVP launch","65ac018e-b43e-4bda-85fe-70ff4978161a","🏠 Trips — Phase 2",,"a3e07396-1998-4889-bba6-4377d8bed7e8",13883,"SAN-328","",
"SAN-357","Sanjiovani","DATA-031 — trip_items itinerary covering index","**Track:** Data foundation (Tier 4) · **IMP-187** · **data-order:33**

**Spec:** `tasks/data/tasks-data/data-031-trip-items-itinerary-index.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-031 — trip_items itinerary index

## Gap

Live indexes: `idx_trip_items_trip`, `idx_trip_items_dates` — no composite `(trip_id, start_at)` for ordered itinerary fetch in `load-trip-workspace.ts`.

## Migration

```sql
CREATE INDEX CONCURRENTLY IF NOT EXISTS idx_trip_items_trip_start_at
  ON public.trip_items (trip_id, start_at)
  WHERE start_at IS NOT NULL;
```

## Acceptance criteria

- [ ] Index exists
- [ ] EXPLAIN on data-030 query (2) uses index when rows > 100 (note low row count today)
- [ ] Apply only if TRIP-005 load path profiled or preemptive before scale

## Note

44 apartments / 4 trip_items — **optional for MVP**; ship before Camila-scale trips if dashboard feels slow.","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:33, imp:187, track:data",,,,,"2026-05-30T00:32:02.428Z","2026-05-30T10:19:56.080Z",,,,,,,,"Phase 1 — mdeai MVP launch","65ac018e-b43e-4bda-85fe-70ff4978161a","🏠 Trips — Phase 2",,"8960c7b9-60c3-4ab1-a9ac-48c54964e01b",13883,"SAN-353","",
"SAN-352","Sanjiovani","DATA-025 — Hermes rental analytics — scoring_logs + market_snapshots","**Track:** Data foundation (Tier 4) · **IMP-182** · **data-order:28**

**Spec:** `tasks/data/tasks-data/data-025-hermes-rental-analytics-tables.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-025 — Hermes rental analytics tables

## Gap (PRD §15)

Listed but **not in live DB:**

| Table | Purpose |
| -- | -- |
| `scoring_logs` | Hermes rank/lead scores (batch writes only) |
| `market_snapshots` | Weekly neighborhood/listing market stats |

## Rules

* Hermes **never mutates** `apartments` or `leads` in hot path
* OpenClaw **never** writes without approval (Part B PRD)
* Service_role or batch role INSERT only

## Proposed schema (sketch)

```sql
CREATE TABLE public.scoring_logs (
  id uuid PRIMARY KEY DEFAULT gen_random_uuid(),
  entity_type text NOT NULL CHECK (entity_type IN ('listing','lead','neighborhood')),
  entity_id uuid NOT NULL,
  model_version text NOT NULL,
  score numeric NOT NULL,
  features jsonb NOT NULL DEFAULT '{}',
  created_at timestamptz NOT NULL DEFAULT now()
);

CREATE TABLE public.market_snapshots (
  id uuid PRIMARY KEY DEFAULT gen_random_uuid(),
  neighborhood_id uuid REFERENCES public.neighborhoods(id),
  snapshot_date date NOT NULL,
  metrics jsonb NOT NULL,
  created_at timestamptz NOT NULL DEFAULT now(),
  UNIQUE (neighborhood_id, snapshot_date)
);
```

## Acceptance criteria

- [ ] RLS: admin read; service_role write; anon denied
- [ ] Documented as **Phase 2 / Hermes** — not blocking Camila MVP
- [ ] Align with **data-022** neighborhood FK

## Out of scope

* Hermes model training
* OpenClaw WhatsApp","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:28, imp:182, track:data",,,,,"2026-05-30T00:31:59.799Z","2026-05-30T10:19:53.303Z",,,,,,,,"Phase 1 — mdeai MVP launch","5108212a-3fa8-403f-8e15-86e4780acfc6","🔮 Platform — Vector",,"5bbc5400-5972-4f15-a658-60b30ea2fd97",13883,"SAN-327","",
"SAN-351","Sanjiovani","DATA-024 — Rental booking commerce prep — bookings ↔ payments Stripe","**Track:** Data foundation (Tier 4) · **IMP-181** · **data-order:27**

**Spec:** `tasks/data/tasks-data/data-024-rental-booking-commerce-prep.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-024 — rental booking commerce prep

## Gap

PRD MVP gate: **one paid booking + commission reconciled**. Tables exist but empty:

* `bookings` — generic `resource_id`, no Stripe session id on row
* `payments` — has `stripe_payment_intent_id`, `stripe_event_id`

Events pattern (`event_orders` + webhook) is the template — **do not duplicate**; extend `bookings`/`payments` for rentals.

## Proposed migration (minimal)

```sql
-- Verify booking_type includes 'rental'
ALTER TABLE public.bookings
  ADD COLUMN IF NOT EXISTS payment_id uuid REFERENCES public.payments(id) ON DELETE SET NULL,
  ADD COLUMN IF NOT EXISTS apartment_id uuid REFERENCES public.apartments(id) ON DELETE SET NULL,
  ADD COLUMN IF NOT EXISTS commission_cents integer,
  ADD COLUMN IF NOT EXISTS commission_rate_bps integer;

CREATE INDEX idx_bookings_apartment ON public.bookings (apartment_id) WHERE apartment_id IS NOT NULL;
CREATE INDEX idx_bookings_type_status ON public.bookings (booking_type, status);
```

Add `rental-payment-webhook` edge fn spec reference (events track owns pattern — separate app task).

## Acceptance criteria

- [ ] Schema supports rental checkout without new ledger table
- [ ] RLS: buyer read own bookings; landlord read bookings on own listings
- [ ] Idempotency via existing `idempotency_keys` or payment stripe_event_id unique
- [ ] Document defer until RE-013–022 app work starts

## Out of scope

* Stripe Connect landlord payouts (Advanced)
* Implementing webhook edge fn (app/edge task)","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:27, imp:181, track:data",,,,,"2026-05-30T00:31:58.690Z","2026-05-30T10:19:52.338Z",,,,,,,,"Phase 1 — mdeai MVP launch","80fe78ad-59de-48f5-9815-7c208c0f0176","🍽️ Discovery — UI",,"3937bf7c-719c-43cd-ad58-0bd580aa58fa",13883,"SAN-347","",
"SAN-350","Sanjiovani","DATA-022 — apartments.neighborhood_id FK — join neighborhoods table","**Track:** Data foundation (Tier 4) · **IMP-180** · **data-order:26**

**Spec:** `tasks/data/tasks-data/data-022-apartments-neighborhood-fk.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

---

# DATA-022 — apartments neighborhood FK

## Gap

`apartments.neighborhood` is **text**. `neighborhoods` table has 12 curated rows with scores. PRD post-MVP **Neighborhood Intelligence** needs stable FK join.

## Proposed migration

```sql
ALTER TABLE public.apartments
  ADD COLUMN IF NOT EXISTS neighborhood_id uuid REFERENCES public.neighborhoods(id) ON DELETE SET NULL;

CREATE INDEX idx_apartments_neighborhood_id ON public.apartments (neighborhood_id)
  WHERE neighborhood_id IS NOT NULL;

-- Backfill via normalized name match (evidence script, manual review for ambiguous)
```

Keep `neighborhood` text for display until app reads FK-only.

## Acceptance criteria

- [ ] ≥90% of active apartments mapped or documented exceptions
- [ ] `search-rentals` can optionally filter by `neighborhood_id`
- [ ] No breaking change to existing text filter

## Real-world example

Camila asks ""Laureles walkable"" — agent joins `neighborhoods.walk_score` without fuzzy text match.","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"data-order:26, imp:180, track:data",,,,,"2026-05-30T00:31:56.593Z","2026-05-30T10:19:51.862Z",,,,,,,,"Phase 1 — mdeai MVP launch","80fe78ad-59de-48f5-9815-7c208c0f0176","🍽️ Discovery — UI",,"1a96fac3-27cd-4220-975e-31e8fd8a6b99",13883,"SAN-327","",
