"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-526","Sanjiovani","PAY-005 — Mobile checkout UX (Stripe + Apple/Google Pay + QR)","## Product code

**PAY-005** — Mobile checkout UX (Stripe + Apple/Google Pay + QR)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/pay-005-mobile-checkout.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | /events/\[slug\], /me/tickets |
| Persona | Andrés |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, scr, stack:nextjs, stack:playwright, stack:stripe, track:screens",,,,,"2026-06-02T23:43:20.381Z","2026-06-08T15:35:15.851Z",,,,,,"2026-06-03T23:43:21.122Z",,"",,,"Breached","2e70dbaf-74ee-4433-802c-16ff717c03dd",8170,"SAN-489","",
"SAN-524","Sanjiovani","MAP-011-M — Mobile map interaction system","## Product code

**MAP-011-M** — Mobile map interaction system

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/map-011-mobile-map-system.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

> **Note:** Not Discovery MAP-011 route previews (SAN-229). Mobile-only map sheet + pinch-zoom.

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, scr, track:maps, track:screens",,,,,"2026-06-02T23:43:15.853Z","2026-06-08T05:59:41.218Z",,,,,,"2026-06-03T23:43:16.478Z",,"",,,"Breached","fdb9b602-d7dc-493d-99ac-9fe0707905ba",8170,"SAN-489, SAN-577","SAN-530, SAN-528",
"SAN-522","Sanjiovani","MOB-CHAT-001 — Mobile chat composer + keyboard UX","## Product code

**MOB-CHAT-001** — Mobile chat composer + keyboard UX

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/mob-chat-001-mobile-chat-composer.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, scr, stack:copilotkit, track:screens",,,,,"2026-06-02T23:43:09.650Z","2026-06-08T05:59:37.228Z",,,,,,"2026-06-03T23:43:10.459Z",,"",,,"Breached","7172ca46-9ff2-45c5-a930-154496d04184",8170,"SAN-489, SAN-578","SAN-530, SAN-529, SAN-528, SAN-526, SAN-525, SAN-523",
"SAN-529","Sanjiovani","PWA-001 — Mobile install experience (manifest + offline)","## Product code

**PWA-001** — Mobile install experience (manifest + offline)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/pwa-001-mobile-install.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | All |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:post-mvp, scr, stack:nextjs, stack:playwright, track:screens",,,,,"2026-06-02T23:43:35.676Z","2026-06-08T05:59:54.745Z",,,,,,"2026-06-09T23:43:36.304Z",,"",,,"MediumRisk","36834657-f7a8-41b6-9ddc-1baff52b85ac",8170,"SAN-489","",
"SAN-528","Sanjiovani","PERF-001 — Mobile performance (LCP / CLS / INP)","## Product code

**PERF-001** — Mobile performance (LCP / CLS / INP)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/perf-001-mobile-performance.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | All |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:post-mvp, scr, stack:nextjs, stack:playwright, track:screens",,,,,"2026-06-02T23:43:29.123Z","2026-06-08T05:59:52.438Z",,,,,,"2026-06-09T23:43:29.695Z",,"",,,"MediumRisk","826b12e7-156e-483b-94bc-eeb0eec75a9a",8170,"SAN-489","SAN-529",
"SAN-527","Sanjiovani","AUTH-006 — Mobile auth stability (OAuth + deep links)","## Product code

**AUTH-006** — Mobile auth stability (OAuth + deep links)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/auth-006-mobile-auth.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | /login, /signup |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, prefix:ATH, scr, track:screens",,,,,"2026-06-02T23:43:25.578Z","2026-06-08T05:59:45.473Z",,,,,,"2026-06-09T23:43:26.442Z",,"",,,"MediumRisk","cbaa41e0-096a-4c98-a7d1-3fe8f87f96c2",8170,"SAN-489","SAN-529",
"SAN-525","Sanjiovani","MOB-CARD-001 — Mobile card system (touch + carousels)","## Product code

**MOB-CARD-001** — Mobile card system (touch + carousels)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/mob-card-001-mobile-card-system.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, scr, track:screens",,,,,"2026-06-02T23:43:17.789Z","2026-06-08T05:59:43.232Z",,,,,,"2026-06-09T23:43:18.738Z",,"",,,"MediumRisk","ecc78dff-290d-43c3-9d03-de0780611a2e",8170,"SAN-489, SAN-574","SAN-530, SAN-528",
"SAN-523","Sanjiovani","AIM-010 — Mobile AI concierge UX (chips + contextual prompts)","## Product code

**AIM-010** — Mobile AI concierge UX (chips + contextual prompts)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/aim-010-mobile-ai-ux.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog",,"High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"phase:mvp, scr, track:screens",,,,,"2026-06-02T23:43:12.816Z","2026-06-08T05:59:39.071Z",,,,,,"2026-06-09T23:43:13.584Z",,"",,,"MediumRisk","c311ef17-47c4-42d3-88ed-0d8b594a02ad",8170,"SAN-489, SAN-578","",
"SAN-728","Sanjiovani","E2E: Camila schedule-viewing full flow (modal → submit → banner → dismiss)","## Context

SAN-716 landed the `LeadConfirmationBanner` + `ScheduleViewingModal` implementation and added 17 unit tests (PR #129). Those tests verify HTML structure via `renderToStaticMarkup` but do not exercise the full runtime flow.

## What is missing

A Playwright E2E test that walks Camila's actual path:

1. Navigate to `/rentals` (or `/chat`) and open a rental card
2. Click ""Schedule Viewing"" → modal appears (`data-testid=""schedule-viewing-modal""`)
3. Fill in name, email, phone, preferred date
4. Click Submit (`data-testid=""schedule-viewing-submit""`)
5. Assert API call to `/api/leads/schedule-viewing` returns 200 and a `leadId`
6. Assert confirmation banner appears (`data-testid=""lead-confirmation-card""`) with the listing title and `Ref <first-8-chars>`
7. Click Dismiss → banner disappears

## Acceptance

- [ ] Playwright spec passes in CI against a real dev/staging environment
- [ ] Covers happy path (valid form → 200 → banner)
- [ ] Covers error path (submit with empty email → field validation, no banner)
- [ ] `leads` row visible in Supabase after successful submit

## Notes

* Unit tests live in `src/components/chat/__tests__/` and `src/components/modals/__tests__/`
* Implementation files: `src/components/chat/lead-confirmation-banner.tsx`, `src/components/modals/schedule-viewing-modal.tsx`, `src/components/chat/rental-ui-context.tsx`
* Submit path: `src/lib/leads/submit-schedule-viewing.ts` → `POST /api/leads/schedule-viewing` → `chat-lead-capture` edge function → Supabase `leads` table

Follows SAN-716 (tests-only PR #129, merged 2026-06-08).","Backlog",,"Medium","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"area:rentals, stack:nextjs, track:screens",,,,,"2026-06-08T07:38:07.591Z","2026-06-08T07:38:07.591Z",,,,,,,,"",,,,"229268dd-1a3f-4562-b590-7c49b011cb7a",495,"","",
"SAN-580","Sanjiovani","D-14 — Polish + proof (a11y, responsive, tests)","**Parent:** [SAN-566](https://linear.app/sanjiovani/issue/SAN-566/design-track-light-luxury-re-skin-concierge-os-d-01-d-14) · **Phase 4** · **Step 14/14** · deps D-09…D-13 · ref design-process §6
**Disk spec:** `tasks/design/tasks/D-14-polish-proof.md` · **Index:** `tasks/design/tasks/INDEX.md`
**Output:** all re-skinned surfaces + test evidence

## EXTEND — do not redo MVP polish

[SAN-265](https://linear.app/sanjiovani/issue/SAN-265/uix-037-screen-019-loading-error-empty-states) (SCREEN-019) + [SAN-268](https://linear.app/sanjiovani/issue/SAN-268/uix-040-screen-020-accessibility-pass-mvp-surfaces) (SCREEN-020) Done for MVP surfaces. D-14 extends to new re-skinned outputs only (D-09…D-13).

## Acceptance criteria (full checklist per new surface)

* Mobile responsive · light-first · WCAG AA + prefers-reduced-motion
* Design tokens (no gray-\*) · shadcn base-nova · CopilotKit v1 only
* Maps: mapId + FieldMask where applicable
* Loading/empty/error demonstrated

Surfaces: D-09 routes · D-10 dashboard · D-11 map · D-12 concierge · D-13 home.

### Proof

```bash
cd mdeapp && npm run floor
npx playwright test e2e/prod-synthetic-smoke.spec.ts --project=chromium --workers=1
```

Evidence: `tasks/testing/evidence/YYYY-MM-DD/d-14-RESULTS.md`","Backlog",,"Medium","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca",,"scr, track:ux",,,,,"2026-06-05T18:59:36.557Z","2026-06-08T03:43:18.278Z",,,,,,,"SAN-566","","90582f4c-d0bc-44e9-972f-d92d829bd95c","M7 — Mobile, A11y &amp; Polish",,"2dd10609-0f5f-4b6d-a00b-17b8bba94715",946,"SAN-265, SAN-268, SAN-577, SAN-575, SAN-579, SAN-574","SAN-578, SAN-576",
