"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-178","Sanjiovani","OPS-ANDRES-G1 — Andrés G1 — manual Stripe test payment → paid row + wallet QR","**Task ID:** `OPS-ANDRES-G1`
**Spec:** `todo.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** phase-1

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"Urgent","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:core",,,,,"2026-05-27T05:50:25.051Z","2026-05-27T06:08:01.067Z",,,,,,,,"","2d7e9933-4834-4c14-a74e-c6c16d8e17af","P0 — MVP gates",,"6787fc3e-2a12-4ca7-8f7a-1856f1686e65",180,"","",
"SAN-115","Sanjiovani","EVP-001-core — Event production proof gates","**Task ID:** `EVP-001-core`
**Spec:** `tasks/events/EVP-001-core-production-proof-gates.md`
**Repo status:** Not Started
**Priority:** P0
**Depends on:** EVP-002-core, EVP-004-core, EVP-005-core, EVP-008-core, EVP-009-core, EVP-010-core, EVP-011-core, EVP-012-core

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"Urgent","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:events",,,,,"2026-05-27T05:49:21.050Z","2026-05-27T06:08:57.137Z",,,,,,,,"","2d7e9933-4834-4c14-a74e-c6c16d8e17af","P0 — MVP gates",,"03791e39-044e-4990-9d1c-c825e5f71455",181,"","",
"SAN-105","Sanjiovani","MAP-011 — Route previews + commute cards","**Task ID:** `MAP-011`
**Spec:** `tasks/maps/MAP-011-route-previews.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** MAP-002, MAP-004

## Summary

## 1\. Purpose

Wire Grounding Lite / Maps MCP `compute_routes` through a Mastra tool, normalize duration strings (`""180s""` → `""3 min""`), and render `RouteDisplay` / `CommuteCard` on `/` via `OPEN_ROUTE_RESULTS` action — **no** turn-by-turn navigation or polyline map layer in Phase 1.

## 2\. Goals

### MAP-011B — Mastra + UI (after 011A)

* `computeRouteTool` in `mdeapp/src/mastra/tools/` — `adkGroundingClient.invoke({ tool: ""compute_routes"", origin, destination, travelMode })` (same HTTP client as MAP-002B `search-grounded-places`; extend sidecar contract if needed)
* Extend `platform/contracts` with `RouteResultSchema` + `OpenRouteResultsAction`
* `normalize-tool-output` branch: missing duration or `error` → `null` (prose fallback)
* `RouteDisplay.tsx` in center column — duration, distanc

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:maps",,,,,"2026-05-27T05:49:14.206Z","2026-05-27T06:09:01.626Z",,,,,,,,"","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","P1 — Maps & core",,"2d96050d-321f-4b9e-b86b-5e888c81eed0",181,"","",
"SAN-110","Sanjiovani","SCREEN-002 — Chat Nav Rail + Thread List","**Task ID:** `SCREEN-002`
**Spec:** `tasks/screens/SCREEN-002-chat-nav-rail.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** MVP Phase 1
**Depends on:** SCREEN-001, F48

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:screens",,,,,"2026-05-27T05:49:17.784Z","2026-05-27T06:08:59.501Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"473afde1-db67-4849-9240-4c85c5c07f04",181,"","",
"SAN-117","Sanjiovani","EVP-013-core — Port EventCard + EventFilters component","**Task ID:** `EVP-013-core`
**Spec:** `tasks/events/EVP-013-core-event-card-component.md`
**Repo status:** Partial
**Priority:** P1
**Phase:** W3 — Day 2 (Roberto's events surface)
**Depends on:** F07, F22

## Summary

## 1\. Purpose

Roberto's W3 hero flow ships `/host/event/new` (creation) and `/host/events` (list). Both — plus Tourist's W6 concierge event suggestions — need a single shared `<EventCard>` shape. Legacy proved it across `EventCard.tsx`, `EventFilters.tsx`, `EnhancedEventFilters.tsx`. EVP-013-core ports the card + the filter primitives into Paisa-tokenised shadcn compositions, used standalone on `/host/events` AND inline in CopilotKit generative UI.

## 2\. Goals

* `mdeapp/src/components/events/EventCard.tsx` — `<EventCard>` from shadcn primitives
* `mdeapp/src/components/events/EventFilters.tsx` — neighborhood + date-range + price filter (uses shadcn `<Input>`, `<DropdownMenu>`)
* `mdeapp/src/app/events/preview/page.tsx` — test fixture route (≥ 3 sample events)
* ≥ 3 Vitest tests (card re

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:events",,,,,"2026-05-27T05:49:33.911Z","2026-05-27T07:37:31.916Z",,,,,,,,"","a6aec707-6ec3-4586-8c11-e381ee65036e","P1 — Events polish",,"d0e82c9e-b497-4379-907f-88cb43f095b7",73,"","SAN-97",
"SAN-97","Sanjiovani","F22 — Port Medellín hero photo library from legacy","**Task ID:** `F22`
**Spec:** `tasks/core/F22-hero-photo-library.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** W2 — Day 5 (post-F07 quick win)
**Depends on:** F07

## Summary

## 1\. Purpose

Legacy `/home/sk/mde/` ships 15 photographs of Medellín neighborhoods, landmarks, and Colombian regions — `beach-palms`, `coffee-farm`, `colonial-street`, `guatape-colors`, `medellin-skyline`, `street-food`, `waterfall`, `caribbean-coast`, `mountain-adventures`, `nightlife`, `urban-exploration`, etc. These are real photography of the product's actual market. Without them, Camila's `/rentals` and Tourist's `/chat` and Roberto's `/host/events` all render with placeholder hero cards. F22 ships the assets so every subsequent UI task (F24-F27) has real Medellín imagery instead of stock SVGs.

## 2\. Goals

* Copy `legacy/src/assets/hero/` (8 files) → `mdeapp/public/hero/`
* Copy `legacy/src/assets/inspired/` (7 files) → `mdeapp/public/inspired/`
* Copy `legacy/public/ilovemde.png`

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:core",,,,,"2026-05-27T05:49:05.534Z","2026-05-27T06:09:05.122Z",,,,,,,,"","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","P1 — Maps & core",,"1d09e480-78ca-408f-b31b-a29f7c89b9ad",181,"","",
"SAN-103","Sanjiovani","MAP-006 — Nearby Search + Show nearby on RentalCard","**Task ID:** `MAP-006`
**Spec:** `tasks/maps/MAP-006-nearby-search.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** Post-MVP — Camila cross-sell
**Depends on:** MAP-005, F46

## Summary

## 1\. Purpose

Ship a Mastra tool (or edge-backed action) wrapping `places:searchNearby` with strict `locationRestriction`, `includedTypes`, `maxResultCount`, and audited `X-Goog-FieldMask`. UI CTA on rental/event cards merges results into MAP-001 pin pipeline under a distinct category (e.g. `nearby` / `restaurant`).

## 2\. Goals

* Tool `searchNearbyPlaces` — input: `lat`, `lng`, `radiusMeters` (default 800, max 1500), `includedTypes[]`, `maxResultCount` (cap 5)
* Uses MAP-005 `places-proxy` for Google call + cache
* Each result includes `googleMapsLinks.placeUri` — **never** synthesize URLs
* `GroundingAttribution` when list is Google-sourced (same as MAP-002 component)
* `mergePinsByCategory` — does not clear `rental` / `event` pins
* `useCopilotAction` mirror for generative UI on `/` a

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:maps",,,,,"2026-05-27T05:49:12.950Z","2026-05-27T06:09:02.529Z",,,,,,,,"","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","P1 — Maps & core",,"1b88f32e-34f0-4ef9-ab30-6ac6752682e7",181,"","SAN-102",
"SAN-113","Sanjiovani","SCREEN-018 — Mobile Responsive 3-Panel Shell","**Task ID:** `SCREEN-018`
**Spec:** `tasks/screens/SCREEN-018-mobile-responsive-shell.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** MVP Phase 1
**Depends on:** F48, MAP-007B, SCREEN-001

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:screens",,,,,"2026-05-27T05:49:19.583Z","2026-05-27T06:08:58.012Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"67ea57b2-28ac-4bfa-b11b-29093a6e3d70",181,"","",
"SAN-106","Sanjiovani","MAP-012 — Neighborhood intelligence cards","**Task ID:** `MAP-012`
**Spec:** `tasks/maps/MAP-012-neighborhood-intelligence.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** MAP-006, MAP-012A

## Summary

## 1\. Purpose

Neighborhood comparison UX for `/` and `/rentals`: read `neighborhood_scores` (or equivalent) populated by weekly refresh from MAP-006 nearby patterns **or** Aggregate/Insights (per Phase 0 decision) — offline `ai_summary` / curated copy where Google generative fields are unavailable.

## 2\. Goals

* Migration `neighborhood_scores` (`neighborhood` text PK, counts per category, `computed_at`)
* RLS: public read; service-role write
* Edge `places-density-refresh` — iterates 5–10 Medellín neighborhoods × categories; uses **Phase 0 winner** (Aggregate API, Insights, or MAP-005 Nearby proxy); caps \~100 Places calls/week
* `NeighborhoodCard.tsx` — Laureles vs Poblado (or dynamic pair from user query)
* Mastra tool or read API `getNeighborhoodScores` — no live Places on hot path
* 

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:maps",,,,,"2026-05-27T05:49:14.827Z","2026-05-27T06:09:01.185Z",,,,,,,,"","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","P1 — Maps & core",,"b9422372-1829-48fe-94c5-5d492feb29ae",181,"","SAN-107, SAN-103",
"SAN-95","Sanjiovani","F20 — Port evaluationAgent + scorers + Vercel deploy prep","**Task ID:** `F20`
**Spec:** `tasks/core/F20-evaluation-and-deploy-prep.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** W8-W9 — observability + deployment
**Depends on:** F19-concierge-and-restaurants-attractions

## Summary

## 1\. Purpose

Closes Phase 1 observability + deployment:

* **evaluationAgent** — scoring/eval helper (per PRD §13 ""evaluation reused"")
* **3 scorers** — written fresh based on legacy `weather-scorer.ts` pattern: `toolCallAppropriatenessScorer`, `completenessScorer`, `translationScorer`
* **Vercel build script** — only needed if migrating to `mastra build` (we use `next build`; defer unless required)

**API risks (probe before coding):**

1. `@mastra/evals` — separate package; likely **not** in mdeapp beta lockfile. If `npm ls @mastra/evals` empty → defer all scorers; document in evidence.
2. `mastra_ai_spans` — 932 rows from legacy Mastra Postgres store; mdeapp uses LibSQL `:memory:` today. **PostgresStore is owned by **[**MASTRA-003**](<../../mastra/MASTRA-003-postgres-storage.md>) — F

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"phase-1, track:core",,,,,"2026-05-27T05:49:04.398Z","2026-05-27T06:09:06.033Z",,,,,,,,"","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","P1 — Maps & core",,"a5e8c41b-8ad6-431b-8bb2-0a682ee29258",182,"","",
