"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-262","Sanjiovani","UIX-034 — SCREEN-008 — Schedule Viewing Modal (HITL Lead)","## Product code

**UIX-034** — SCREEN-008 — Schedule Viewing Modal (HITL Lead)

| Traceability | Value |
| -- | -- |
| Linear | SAN-262 |
| Spec | `SCREEN-008` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

HITL modal → `chat-lead-capture` edge → confirmation card in thread. **MVP gate G2.**

## Goals

HITL modal → `chat-lead-capture` edge → confirmation card in thread. **MVP gate G2.**
As **Camila**, I want to pick a viewing time and submit my contact info, so the landlord gets a lead without WhatsApp.

Key outcomes:

* Modal validates required fields
* Submit creates row in `leads` (local/staging)
* Confirmation card appears in CopilotChat
* No OTA / external redirect

## Features

* Create `components/modals/schedule-viewing-modal.tsx` (`ui/dialog.tsx`)
* Fields: name, email, phone, preferred datetime, listing id
* Success/error states
* `renderAndWaitForResponse` pattern OR modal triggered from card with agent acknowledgment message
* Optional `useCopilotAction` mirror for `capture_lead` when tool lands
* New tool `capture_lead` (thin) → POST edge — implement in F47, wire UI here

## Real-world example

**Camila** on `Modal on `/` (and from venue sheet)` taps through the flow to to pick a viewing time and submit my contact info → the landlord gets a lead without WhatsApp.

## Persona & surface

* **Persona:** Camila
* **Surface:** Modal on `/` (and from venue sheet)

## Where to view (exact URLs)

| Surface | Localhost | Production |
| -- | -- | -- |
| Modal on `/` (and from venue sheet) | [open](<http://localhost:3001/>) | [open](<https://www.mdeai.co/>) |

**Local dev:** `cd mdeapp && npm run dev` → confirm port on `[ui]` line (usually `:3001`).

## Completion proof

* **Evidence file:** `tasks/evidence/SCREEN-008-evidence.md`
* **Summary:** Playwright: 2/2 · floor: exit 0
* **Playwright:** `../../../mdeapp/e2e/screens/SCREEN-008-*.spec.ts`
* **Agent must verify:** restart dev → localhost URLs above → same flow on [mdeai.co](<https://www.mdeai.co/>) before claiming ship.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `SCREEN-008` |
| Spec | `tasks/real-estate/wireframes/017-scr-schedule-viewing-modal.md` |
| Type | screen build spec |
| Repo status | Done |
| Priority | P0 |
| Phase | MVP Phase 2 |
| Depends on | SCREEN-005, SCREEN-007, F47, F12 |
| Wireframes | 010-wire-booking-checkout.md, 009-wire-rental-search.md |
| Evidence | `../notes/SCREEN-008-evidence.md` |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","In Review","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","scr","1","Cycle 1","2026-06-08T05:00:00.000Z","2026-06-22T05:00:00.000Z","2026-05-27T09:29:46.395Z","2026-06-06T10:44:43.851Z","2026-05-27T16:09:52.020Z","","","","","","","","","","","789cda03-08a3-4913-b6d2-99c8efcda704","17240","SAN-716, SAN-479","",""
"SAN-263","Sanjiovani","UIX-035 — SCREEN-004 — Workflow Progress Strip","## Product code

**UIX-035** — SCREEN-004 — Workflow Progress Strip

| Traceability | Value |
| -- | -- |
| Linear | SAN-263 |
| Spec | `SCREEN-004` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Visible step indicator during rental/event search (Mindtrip workflow strip).

## Goals

Visible step indicator during rental/event search (Mindtrip workflow strip).
As **Camila**, I want to see ""Searching → Ranking → Results"" steps, so I know the agent is working.

Key outcomes:

* Rental query shows ≥3 labeled steps before cards appear
* Strip clears or shows complete on results
* Event query uses same component with event labels
* No layout shift breaking CopilotChat input

## Features

* Create `components/chat/workflow-progress-strip.tsx`
* Mount from `chat-center-panel.tsx`
* States: idle | running | complete | error
* Phase A (MVP): Drive strip from tool-call in-progress / generative render loading (search-rentals, search-events) — do not block on workflow SSE
* Phase B (optional): Map step labels from workflow metadata or working memory when AG-UI exposes steps
* `rental-search-workflow`, `event-discovery-workflow` — expose step names in stream or working memory

## Real-world example

**Camila** on \`\`/` — below query bar or above CopilotChat messages` taps through the flow to to see ""searching → ranking → results"" steps → I know the agent is working.

## Persona & surface

* **Persona:** Camila
* **Surface:** `/` — below query bar or above CopilotChat messages

## Where to view (exact URLs)

| Surface | Localhost | Production |
| -- | -- | -- |
| `/` — below query bar or above CopilotChat messages | [open](<http://localhost:3001/>) | [open](<https://www.mdeai.co/>) |

**Local dev:** `cd mdeapp && npm run dev` → confirm port on `[ui]` line (usually `:3001`).

## Completion proof

* **Evidence file:** `tasks/evidence/SCREEN-004-evidence.md`
* **Summary:** floor: exit 0
* **Playwright:** `../../../mdeapp/e2e/screens/SCREEN-004-*.spec.ts`
* **Agent must verify:** restart dev → localhost URLs above → same flow on [mdeai.co](<https://www.mdeai.co/>) before claiming ship.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `SCREEN-004` |
| Spec | `tasks/screens/017-scr-workflow-progress-strip.md` |
| Type | screen build spec |
| Repo status | Done |
| Priority | P0 |
| Phase | MVP Phase 1 |
| Depends on | F49, SCREEN-001 |
| Wireframes | 002-wire-chat-chrome.md, 009-wire-rental-search.md |
| Evidence | `../notes/SCREEN-004-evidence.md` |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","In Review","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","scr","1","Cycle 1","2026-06-08T05:00:00.000Z","2026-06-22T05:00:00.000Z","2026-05-27T09:29:46.972Z","2026-06-05T20:20:45.466Z","2026-05-27T16:09:51.352Z","","","","","","","","","","","59316226-69d9-4899-bc58-4478b71ee616","17240","","",""
"SAN-259","Sanjiovani","UIX-031 — SCREEN-015 — My Tickets + QR","## Product code

**UIX-031** — SCREEN-015 — My Tickets + QR

| Traceability | Value |
| -- | -- |
| Linear | SAN-259 |
| Spec | `SCREEN-015` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `SCREEN-015`
**Spec:** `tasks/archive/events-A/wireframes/015-scr-my-tickets-qr.md`
**Repo status:** Partial

## Verification 2026-05-27

**Not 100% Done** — moved from Done → In Review.

| Criterion | Status |
| -- | -- |
| `/me/tickets` route + QR UI | ✅ committed, PW 3/3 |
| Live paid order → QR | ❌ pending G1 (OPS-ANDRES-G1) |

Evidence: `tasks/evidence/SCREEN-015-evidence.md` § Acceptance ⚠️

**Unblocks when:** Stripe test checkout → `event_orders.status=paid` on prod.","In Review","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","scr","1","Cycle 1","2026-06-08T05:00:00.000Z","2026-06-22T05:00:00.000Z","2026-05-27T09:29:44.453Z","2026-06-08T05:58:12.484Z","2026-05-27T16:05:30.216Z","","","","","","","","","","","46a91c0f-fca3-4b8a-8bbe-213c59c17357","17244","SAN-248, SAN-576","",""
"SAN-691","Sanjiovani","MKT — For Rentals / Brokers landing (/partners/rentals)","## /partners/rentals — Rentals AI (B2B landing)

**Feature:** public marketing landing for brokers/real-estate hosts. **Goal:** turn Camila's rental demand into broker signups + qualified leads. (Grade A-·85.)

**User story:** *As a broker, I want my listings to reach people already searching rentals in Laureles, so I get booked viewings without ad spend.*

### Wireframe ✅ verified 2026-06-08

| Item | Path |
| -- | -- |
| **Wireframe** | `tasks/partners/wireframes/partners-rentals-wireframe.html` |
| **Shell parent** | `tasks/partners/wireframes/venues-wireframe.html` (Mindtrip B2B bands) |
| **Design inventory** | `tasks/design/DESIGN-INVENTORY.md` — ✅ partners-rentals-wire |
| **Disk status** | `mdeapp/src/app/partners/rentals/page.tsx` — **placeholder shell** (PR #123); full landing not built |

**7 bands (wireframe sections 01–07):**

1. B2B nav — primary CTA ""List your rental"" → `?type=broker`
2. Hero — ""Turn Camila's searches into booked viewings"" + dual CTA (list / book demo)
3. Services grid — 6 cards: AI listing draft · lead qualification · schedule-viewing HITL · map+concierge · leads CRM · reporting
4. How it works — 4 steps + `/rentals` map pin preview
5. Trust band + pricing teaser — Free listing · per qualified lead · subscription ([SAN-668](https://linear.app/sanjiovani/issue/SAN-668/ptr-revenue-architecture-and-monetization-config))
6. Demo/list form — name · email · agency · # units · area · message → `/api/leads`
7. Footer — cross-links Venues · Hosts · Pricing

**Handoff (from wireframe):** build full `PartnerLandingTemplate` from placeholder; CTA → `/partners/signup?type=broker`; reuse live `/api/leads/schedule-viewing`.

### User journey

```mermaid
flowchart LR
  B[""Broker (SEO/referral)""] --> P[""/partners/rentals""] --> CTA[""List your rental""]
  CTA --> SU[""signup?type=broker (SAN-723)""] --> D[""Dashboard: listings·leads (SAN-690)""]
  D --> LEAD[""Camila schedules viewing → /api/leads/schedule-viewing""] --> FEE[""Lead fee (SAN-668)""]
```

### Workflows · Agents · Automations

* **Workflows:** lead capture → qualify → route (shared [SAN-684](https://linear.app/sanjiovani/issue/SAN-684/ptr-lead-generation-engine-channels-lead-store))
* **Agents:** concierge demo embed (read-only); AI listing-draft preview
* **Automations:** broker welcome + lead re-engage ([SAN-670](https://linear.app/sanjiovani/issue/SAN-670/ptr-marketing-automation-engine-partner-lifecycle))

### Tech stack

Next.js 16 · shadcn · tailwind · CopilotKit (demo input) · Supabase (`leads`) · Maps (`/rentals` pins)

### Page content · AC

- [ ] Replace placeholder with wireframe bands 01–07
- [ ] Public page · CTA → `?type=broker` · secondary → `/contact` ([SAN-693](https://linear.app/sanjiovani/issue/SAN-693/mkt-contact-book-a-demo-contact))
- [ ] Mentions live `/api/leads/schedule-viewing` in copy
- [ ] Light tokens · `mapId` on any map preview · no new shadcn
- [ ] Playwright: load + CTA nav · localhost `/partners/rentals` → 200 · `floor` green

### Dependencies

**Relates** [SAN-723](https://linear.app/sanjiovani/issue/SAN-723/mkt-partner-signup-wizard-partnerssignup) (broker signup) · [SAN-690](https://linear.app/sanjiovani/issue/SAN-690/mkt-partner-dashboard-dashboard) (broker tabs) · [SAN-668](https://linear.app/sanjiovani/issue/SAN-668/ptr-revenue-architecture-and-monetization-config) (lead fee) · [SAN-684](https://linear.app/sanjiovani/issue/SAN-684/ptr-lead-generation-engine-channels-lead-store) (lead engine) · [SAN-677](https://linear.app/sanjiovani/issue/SAN-677/ptr-real-estate-broker-full-onboarding-cycle-e2e) (broker vertical e2e).

**Skills:** build=`shadcn`,`mde-real-estate`,`tailwind-best-practices` · verify=`task-verifier`,`playwright-cli`","In Review","","High","bf4241fd-4f7f-420d-bb16-ca2ec8bc3d4b","Partners","ai@socialmediaville.ca","ai@socialmediaville.ca","MKT, PTR, ptr:broker, UX","1","Cycle 1","2026-06-08T05:00:00.000Z","2026-06-22T05:00:00.000Z","2026-06-06T13:08:02.739Z","2026-06-08T08:11:59.722Z","2026-06-08T05:58:54.333Z","","","","","2026-06-13T13:08:03.827Z","SAN-667","","5d96565d-7aa8-43a9-a689-074d7891dc67","M1 — Acquire","MediumRisk","cc4a0903-4178-4802-bdc4-cbcde48fa1b8","528","SAN-723, SAN-670, SAN-684, SAN-668, SAN-677, SAN-690, SAN-665, SAN-692, SAN-660, SAN-726, SAN-693, SAN-674","",""
"SAN-387","Sanjiovani","SEARCH-002 — Wire hybrid_search_events + event_signals","'> **Summary:** Andrés asks *""salsa events this weekend""* in chat and gets **event cards** — not hidden backend results. Hybrid search is **already on** `main`; ship the **PR #38** fast-path UI after soak passes.

**Who cares:** Andrés (tickets) · Tourist (salsa/fashion/live music) · Camila (same chat shell)

**Spec:** `tasks/data/tasks-data/SEARCH-002-event-hybrid.md` · **Open PR:** [amo-tech-ai/mdeapp#38](https://linear.app/sanjiovani/review/featsearch-search-002-events-live-in-concierge-fast-path-ui-5e0b01eb16c2)

---

## Scorecard

| Task | Feature | Use case | Real-world example | Score | Grade |
| -- | -- | -- | -- | -- | -- |
| Backend hybrid | `hybrid_search_events` + `event_signals` | Rank Medellín events in chat | *""Salsa this weekend near Provenza""* → Supabase rows ranked | **85%** | **B** |
| Fast-path UI (#38) | Event cards in concierge without full agent loop | Same query shows cards + pins fast | Andrés sees ticket cards on [mdeai.co/chat](<https://www.mdeai.co/chat>) | **15%** | **F** |
| **Overall** [SAN-387](https://linear.app/sanjiovani/issue/SAN-387/search-002-wire-hybrid-search-events-event-signals) | Event discovery in chat | Tourist finds a night out via AI | *""Live music this weekend""* → pick event → detail | **60%** | **D** |

**Wait gate:** Do **not** merge #38 until [SAN-462](<https://linear.app/sanjiovani/issue/SAN-462>) soak **3/3**.

---

## Flow

```mermaid
flowchart LR
    Q[User salsa this weekend] --> BE[hybrid_search_events on main]
    BE --> WAIT{Soak 3/3?}
    WAIT -->|no| HOLD[Hold PR 38]
    WAIT -->|yes| UI[Merge 38 fast-path cards]
    UI --> PROD[Cards on mdeai.co/chat]
```

---

## Steps

| Step | Action |
| -- | -- |
| 0 | Confirm backend on `main`: `intelligence-event-search.ts` |
| 1 | Wait [SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) **3/3** nightly prod synthetics |
| 2 | Review + merge [amo-tech-ai/mdeapp#38](https://linear.app/sanjiovani/review/featsearch-search-002-events-live-in-concierge-fast-path-ui-5e0b01eb16c2) |
| 3 | Prod chat: event query → cards visible |
| 4 | Linear [SAN-387](https://linear.app/sanjiovani/issue/SAN-387/search-002-wire-hybrid-search-events-event-signals) → Done with proof |

---

## Success criteria

| \# | Pass when |
| -- | -- |
| S1 | `hybrid_search_events` RPC returns rows (logs `hybrid_used`) |
| S2 | Web grounding only when <3 Supabase rows |
| S3 | PR #38 merged after soak |
| S4 | Prod chat shows **EventCard** for event queries |
| S5 | `npm run test -- search-events` green |
| S6 | `npm run floor` green on #38 |

---

## Production-ready checklist (#38 merge)

- [ ] [SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) soak **3/3**
- [ ] PR #38 floor green
- [ ] Not mixing commerce / unrelated UX
- [ ] Prod: *""salsa this weekend""* → ≥1 event card
- [ ] `search_logs` shows hybrid path on prod
- [ ] Linear [SAN-387](https://linear.app/sanjiovani/issue/SAN-387/search-002-wire-hybrid-search-events-event-signals) → Done

---

## Tests / verify

**Backend (now):**

```bash
cd mdeapp
npm run test -- --run src/mastra/lib/__tests__/intelligence-event-search.test.ts
npm run test -- --run src/mastra/tools/__tests__/search-events
```

**After #38 merge:**

```bash
npm run floor
# prod smoke: chat event query → cards
```

---

## Already on `main` (do not rebuild)

* `src/mastra/lib/intelligence-event-search.ts`
* `search-events.ts` intelligent path + try/catch (PR-01)
* RPC `hybrid_search_events` in Supabase

---

## Out of scope

* Close obsolete PR #19 (separate PR-11 / [SAN-432](https://linear.app/sanjiovani/issue/SAN-432/ux-017-superseded-pr-19-rebase-canceled-use-pr-32))
* Stripe / ticket checkout (Commerce)
* Real-time event ingest (EVP)","In Review","","High","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","phase:mvp, track:ux","","","","","2026-05-30T11:22:41.515Z","2026-06-05T22:44:27.507Z","2026-05-30T13:26:07.640Z","","","","","","","","","","","1e311755-ad21-4bec-8694-57ccddcf59c4","11528","SAN-385, SAN-380, SAN-462, SAN-586","",""
"SAN-386","Sanjiovani","SEARCH-001 — Wire hybrid_search_listings + rental_signals","**Track:** Intelligence (MIS) · **intel-order:13** · **intel-1b**

**Stack:** mastra, pgvector, search

**Layer:** ranking

**Spec:** `tasks/data/tasks-data/SEARCH-001-rental-hybrid.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**Note:** After MIS-M1 gate — rentals hybrid

---

# SEARCH-001 — Hybrid rental search

## At a glance

|  |  |
| -- | -- |
| **For** | Camila (nomad / monthly stays) |
| **Why now** | Phase 1b — nomad rental queries need signal boost, not keyword-only |
| **Prerequisite** | MIS-M1 closed; VEC-004 worker live; INT-002 parser bands |

## What we're building

1. `intelligence-rental-search.ts` (new) — slots: nomad, quiet, nightlife, monthly, neighborhood
2. Extend `search-rentals.ts` — `queryText` → hybrid path when present
3. Join `rental_signals` (digital_nomad_score, quiet_score, wifi_score, …)
4. `writeSearchLog` with `hybrid_used`, rank_explanation
5. Fast-path API `/api/rentals/search` — optional hybrid when queryText passed

## Golden queries

| Prompt | Expected signal |
| -- | -- |
| Quiet digital nomad rental Laureles | digital_nomad + quiet boost |
| Monthly stay Poblado under $1500 | monthly + neighborhood |
| Near nightlife but not too noisy | nightlife_score balanced with quiet |

## Done gate

| Check | Evidence |
| -- | -- |
| RPC called | logs show hybrid_used |
| Signals joined | rank_explanation cites rental_signals |
| Fast-path preserved | `1BR Laureles $80/night` still API 200 without agent |
| Tests | vitest hybrid + parser regression |

## Out of scope

* LLM ranking
* Cross-domain itinerary workflow
* save-to-trip

## Verify

```bash
cd mdeapp && npm run test -- search-rentals && npm run smoke:golden-queries  # after DATA-046 row added
```","In Review","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:13, phase:mvp, track:intelligence","","","","","2026-05-30T11:22:40.697Z","2026-06-04T01:45:00.810Z","2026-05-30T13:26:09.979Z","","","","","","","Phase 1 — mdeai MVP launch","","","","6e1683e0-c2fa-4562-a3d0-37098fa8fe5c","11528","SAN-385, SAN-381","",""
"SAN-338","Sanjiovani","DATA-008 — Places backfill cron / edge job","**Track:** Data foundation (Tier 4) · **IMP-168** · **data-order:14**

**Spec:** `tasks/data/tasks-data/data-008-places-backfill-cron.md`

**Plan:** [`plan.md`](<../../plan.md>) Tier 4 · [`INDEX-data.md`](<../../tasks/data/tasks-data/INDEX-data.md>)

**Note:** Blocked — after DATA-007

---

# DATA-008 — places backfill cron

## At a glance

|  |  |
| -- | -- |
| **For** | All detail-panel users |
| **Surface** | Edge cron / backfill job |
| **Layer** | DATA |

## What we're building

Scheduled Places backfill so cache (data-007) stays warm for top anchors and search hits.

## Features

* Cron or edge fn for stale/missing cache rows
* X-Goog-FieldMask on every fetch
* Metrics for cache hit rate

## Agents & tools

None

## Workflows

Optional batch job — not user-facing

## User journey

1. Nightly job reads gap list from data-007.
2. Places API fills `place_details_cache`.
3. Next day's detail opens feel instant.

## Goals

1. Edge fn or cron: select `restaurants` / cache rows missing `place_details_cache` coverage.
2. Call Places with minimal field mask; upsert cache.
3. Rate-limit + idempotent by `place_id`.
4. Log run to ops table or structured logs.

## Acceptance

- [ ] ≥80% anchor rows have cache entry after one run (data-007 metric)
- [ ] No browser-side Places calls
- [ ] RLS unchanged on public tables","In Review","","High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca","","area:launch, data-order:14, imp:168, phase:launch, phase:mvp, track:data","","","","","2026-05-30T00:31:47.052Z","2026-06-04T01:52:51.514Z","2026-06-02T16:52:39.987Z","","","","","","","Phase 1 — mdeai MVP launch","54ad87c1-651a-42b1-9b6a-4fb90ab35cab","🗺️ Maps — Growth","","ce5abc03-5242-45b6-b452-c81888396001","8557","SAN-337","",""
"SAN-260","Sanjiovani","UIX-032 — WIRE-020 — My Tickets + QR","## Product code

**UIX-032** — WIRE-020 — My Tickets + QR

| Traceability | Value |
| -- | -- |
| Linear | SAN-260 |
| Spec | `WIRE-020` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

**Source:** legacy `MyTickets.tsx`, `TicketDetail.tsx`   **Persona:** Andrés · **Path:** `/me/tickets`, `/me/tickets/:id`

## Goals

**Source:** legacy `MyTickets.tsx`, `TicketDetail.tsx`   **Persona:** Andrés · **Path:** `/me/tickets`, `/me/tickets/:id`

## Features

* Implement **My Tickets + QR** per spec

## Real-world example

**Source:** legacy `MyTickets.tsx`, `TicketDetail.tsx`   **Persona:** Andrés · **Path:** `/me/tickets`, `/me/tickets/:id`

## Persona & surface

* **Surface:** /me/tickets

## Where to view (exact URLs)

| Surface | Localhost | Production |
| -- | -- | -- |
| /me/tickets | [open](<http://localhost:3001/me/tickets>) | [open](<https://www.mdeai.co/me/tickets>) |

**Local dev:** `cd mdeapp && npm run dev` → confirm port on `[ui]` line (usually `:3001`).

* **Built as:** `SCREEN-015` — use URLs above (wireframe = design; screen = implementation).

## Completion proof

* **Evidence file:** `tasks/evidence/SCREEN-015-evidence.md`
* **Summary:** Playwright: 3/3 · floor: exit 0
* **Agent must verify:** restart dev → localhost URLs above → same flow on [mdeai.co](<https://www.mdeai.co/>) before claiming ship.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `WIRE-020` |
| Spec | `tasks/events/wireframes/015-wire-my-tickets-qr.md` |
| Type | wireframe / design spec |
| Repo status | Done |
| Priority | P1 |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","In Review","","High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca","","","","","","","2026-05-27T09:29:45.015Z","2026-06-02T15:55:14.828Z","2026-05-27T16:09:56.959Z","","","","","","","Phase 1 — mdeai MVP launch","80fe78ad-59de-48f5-9815-7c208c0f0176","🍽️ Discovery — UI","","8ad5ee94-4bc6-4083-8f62-849a9ea23955","17240","","",""
"SAN-254","Sanjiovani","UIX-026 — WIRE-007 — Saved Collections","## Product code

**UIX-026** — WIRE-007 — Saved Collections

| Traceability | Value |
| -- | -- |
| Linear | SAN-254 |
| Spec | `WIRE-007` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

**Persona:** Camila · **Surface:** left nav + full view

## Goals

**Persona:** Camila · **Surface:** left nav + full view

## Features

* Implement **Saved Collections** per spec

## Real-world example

**Persona:** Camila · **Surface:** left nav + full view

## Persona & surface

* **Surface:** /saved

## Where to view (exact URLs)

| Surface | Localhost | Production |
| -- | -- | -- |
| /saved | [open](<http://localhost:3001/saved>) | [open](<https://www.mdeai.co/saved>) |

**Local dev:** `cd mdeapp && npm run dev` → confirm port on `[ui]` line (usually `:3001`).

* **Built as:** `SCREEN-011` — use URLs above (wireframe = design; screen = implementation).

## Completion proof

* **Evidence file:** `tasks/evidence/SCREEN-011-evidence.md`
* **Summary:** Verified: 2026-05-20   · Playwright: 3/3
* **Agent must verify:** restart dev → localhost URLs above → same flow on [mdeai.co](<https://www.mdeai.co/>) before claiming ship.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `WIRE-007` |
| Spec | `tasks/trips/wireframes/014-wire-saved-collections.md` |
| Type | wireframe / design spec |
| Repo status | Done |
| Priority | P1 |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*

![08a-mindtrip_collections.png](https://uploads.linear.app/ec318f72-b291-46c2-9b60-ea6cc81b0dbc/fffc35bc-9d16-4e03-8110-1ad945037f9f/54fbbb06-0a91-4060-b3ef-b40b172e57ba)

![08-mindtrip_collections.png](https://uploads.linear.app/ec318f72-b291-46c2-9b60-ea6cc81b0dbc/f524ce74-5135-44e7-b308-5d98d952805f/8193e680-8dd7-411d-8335-5a39ebd7958a)","In Review","","High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca","","phase:post-mvp, prefix:UIX, stack:nextjs, stack:playwright","","","","","2026-05-27T09:29:41.557Z","2026-05-30T10:09:10.588Z","2026-05-27T16:09:51.235Z","","","","","","","Phase 1 — mdeai MVP launch","80fe78ad-59de-48f5-9815-7c208c0f0176","🍽️ Discovery — UI","","ef364280-dc4e-47fd-83d3-9cd953d9dbbe","17240","","",""
"SAN-256","Sanjiovani","UIX-028 — WIRE-018 — Trip Workspace (full tabs)","## Product code

**UIX-028** — WIRE-018 — Trip Workspace (full tabs)

| Traceability | Value |
| -- | -- |
| Linear | SAN-256 |
| Spec | `WIRE-018` |
| Prefix | UIX |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

**Source:** legacy `TripDetail.tsx` · Mindtrip `04-mindtrip_itinerary.png`   **Persona:** Camila · **Path:** `/trips/:id` · **Auth:** required

## Goals

**Source:** legacy `TripDetail.tsx` · Mindtrip `04-mindtrip_itinerary.png`   **Persona:** Camila · **Path:** `/trips/:id` · **Auth:** required

## Features

* Implement **Trip Workspace (full tabs)** per spec

## Real-world example

**Source:** legacy `TripDetail.tsx` · Mindtrip `04-mindtrip_itinerary.png`   **Persona:** Camila · **Path:** `/trips/:id` · **Auth:** required

## Persona & surface

* **Surface:** /trips/:id

## Where to view (exact URLs)

| Surface | Localhost | Production |
| -- | -- | -- |
| Trip workspace (demo trip) | [open](<http://localhost:3001/trips/11111111-1111-1111-1111-000000000002>) | [open](<https://www.mdeai.co/trips/11111111-1111-1111-1111-000000000002>) |
| Trips list | [open](<http://localhost:3001/trips>) | [open](<https://www.mdeai.co/trips>) |

**Local dev:** `cd mdeapp && npm run dev` → confirm port on `[ui]` line (usually `:3001`).

* **Built as:** `SCREEN-013` — use URLs above (wireframe = design; screen = implementation).

## Completion proof

* **Evidence file:** `tasks/evidence/SCREEN-013-evidence.md`
* **Summary:** Verified: 2026-05-20   · Playwright: 4/4 · floor: exit 0 · Grade: A
* **Agent must verify:** restart dev → localhost URLs above → same flow on [mdeai.co](<https://www.mdeai.co/>) before claiming ship.

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `WIRE-018` |
| Spec | `tasks/trips/wireframes/012-wire-trip-workspace.md` |
| Type | wireframe / design spec |
| Repo status | Done |
| Priority | P1 |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*

![04-mindtrip_itinerary.png](https://uploads.linear.app/ec318f72-b291-46c2-9b60-ea6cc81b0dbc/56611838-36c8-48cc-996c-20874f6d535f/3fae0780-1d06-4f4d-ac8a-f78393eb2cb5)","In Review","","High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca","","phase:post-mvp, prefix:UIX, stack:nextjs, stack:playwright","","","","","2026-05-27T09:29:42.713Z","2026-05-30T10:09:09.378Z","2026-05-27T16:09:51.578Z","","","","","","","Phase 1 — mdeai MVP launch","80fe78ad-59de-48f5-9815-7c208c0f0176","🍽️ Discovery — UI","","c5482a68-f7e1-403b-a34b-70a30ac4cc30","17240","","",""
