"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-179","Sanjiovani","SYS-013 — Contest diagrams, GitHub repo decisions, and scope gate","## Product code

**SYS-013** — Contest diagrams, GitHub repo decisions, and scope gate

| Traceability | Value |
| -- | -- |
| Linear | SAN-179 |
| Spec | `CTEST-000` |
| Prefix | SYS |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `CTEST-000`
**Spec:** `tasks/contest/tasks/CTEST-000-diagrams-repo-decisions.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest planning

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:SYS, stack:nextjs, stack:supabase",,,,,"2026-05-27T05:57:44.101Z","2026-06-02T23:33:12.096Z",,,,,,,,"Phase 1 — mdeai MVP launch","49eb9a6d-f4b2-4da9-b157-eef36ee9c63c","🔮 Deferred — Contest",,"adee79a2-bbff-4215-8447-01ea654d268a",8182,"","",
"SAN-226","Sanjiovani","AUT-040 — ClawEvents + OpenClaw — Medellín event ingest worker","## Product code

**AUT-040** — ClawEvents + OpenClaw — Medellín event ingest worker

| Traceability | Value |
| -- | -- |
| Linear | SAN-226 |
| Spec | `OCL-042-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-042-mvp`
**Spec:** `tasks/openclaw/tasks/OCL-042-mvp-clawevents-medellin-automation.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP — after EVP-020..026
**Depends on:** EVP-020-mvp-discovered-events-data-model, EVP-022-mvp-event-discovery-workflow

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:16.499Z","2026-06-02T23:33:03.447Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"768e6863-6965-4686-b31c-dbe448d4aa52",8182,"","SAN-125, SAN-123",
"SAN-225","Sanjiovani","AUT-039 — Events — live ops ticker and role-specific event updates","## Product code

**AUT-039** — Events — live ops ticker and role-specific event updates

| Traceability | Value |
| -- | -- |
| Linear | SAN-225 |
| Spec | `OCL-041-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-041-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-041-advanced-live-ops-ticker.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-022-advanced, OCL-023-advanced, OCL-035-advanced, OCL-040-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:15.946Z","2026-06-02T23:33:01.898Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"95550490-c1c5-4ccf-bd7e-98ecf405c2a3",8182,"","SAN-224, SAN-219, SAN-209, SAN-208",
"SAN-224","Sanjiovani","AUT-038 — Events — event page QA crawler","## Product code

**AUT-038** — Events — event page QA crawler

| Traceability | Value |
| -- | -- |
| Linear | SAN-224 |
| Spec | `OCL-040-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-040-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-040-postmvp-event-page-qa-crawler.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-012-mvp, OCL-016-postmvp, OCL-017-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:15.390Z","2026-06-02T23:33:00.543Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"fea5570a-ca04-4cca-9c4f-67ddae342271",8182,"","SAN-203, SAN-202, SAN-198",
"SAN-223","Sanjiovani","AUT-037 — Events — source health and connector drift monitor","## Product code

**AUT-037** — Events — source health and connector drift monitor

| Traceability | Value |
| -- | -- |
| Linear | SAN-223 |
| Spec | `OCL-039-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-039-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-039-postmvp-event-source-health-monitor.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-021-postmvp, OCL-038-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:14.814Z","2026-06-02T23:32:58.339Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"2c1c9b37-9386-47d6-9561-81ec661aaa13",8182,"","SAN-222, SAN-207",
"SAN-222","Sanjiovani","AUT-036 — Events — public event source connector adapters","## Product code

**AUT-036** — Events — public event source connector adapters

| Traceability | Value |
| -- | -- |
| Linear | SAN-222 |
| Spec | `OCL-038-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-038-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-038-postmvp-event-source-connector-adapters.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-017-postmvp, OCL-030-postmvp, OCL-036-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:14.258Z","2026-06-02T23:32:58.080Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"828e8dec-1ba7-417f-9515-fdcb7c2c0ff8",8182,"","SAN-220, SAN-214, SAN-203",
"SAN-221","Sanjiovani","AUT-035 — Events — event planner checklist adapter","## Product code

**AUT-035** — Events — event planner checklist adapter

| Traceability | Value |
| -- | -- |
| Linear | SAN-221 |
| Spec | `OCL-037-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-037-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-037-postmvp-event-planner-checklist-adapter.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-036-postmvp, OCL-016-postmvp, OCL-033-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:13.659Z","2026-06-02T23:32:55.667Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"bc96fbff-682a-4e34-94e0-3d50f7f87bf6",8183,"","SAN-217, SAN-202, SAN-220",
"SAN-220","Sanjiovani","AUT-034 — Events — repo and OpenClaw skill intake audit gate","## Product code

**AUT-034** — Events — repo and OpenClaw skill intake audit gate

| Traceability | Value |
| -- | -- |
| Linear | SAN-220 |
| Spec | `OCL-036-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-036-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-036-postmvp-repo-skill-intake-audit.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** OCL-004-core, OCL-030-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:13.019Z","2026-06-02T23:32:54.287Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"fdff8d1c-1deb-42bb-9835-cb0b8cba76e3",8183,"","SAN-214, SAN-190",
"SAN-219","Sanjiovani","AUT-033 — Events — approved WhatsApp/Postiz/social campaign execution","## Product code

**AUT-033** — Events — approved WhatsApp/Postiz/social campaign execution

| Traceability | Value |
| -- | -- |
| Linear | SAN-219 |
| Spec | `OCL-035-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-035-advanced`
**Spec:** `tasks/openclaw/tasks/OCL-035-advanced-approved-channel-campaigns.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** OCL-022-advanced, OCL-027-advanced, OCL-032-postmvp, OCL-034-postmvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:12.469Z","2026-06-02T23:32:52.821Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"86978fd7-6bb8-44ff-8b39-3649505ab815",8183,"","SAN-218, SAN-216, SAN-213, SAN-208",
"SAN-218","Sanjiovani","AUT-032 — Events — Instagram/Facebook social intelligence","## Product code

**AUT-032** — Events — Instagram/Facebook social intelligence

| Traceability | Value |
| -- | -- |
| Linear | SAN-218 |
| Spec | `OCL-034-` |
| Prefix | AUT |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Task ID:** `OCL-034-postmvp`
**Spec:** `tasks/openclaw/tasks/OCL-034-postmvp-event-social-intelligence.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** OCL-030-postmvp, EVP-015-mvp

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Backlog",,"Low","7826f699-5ded-44e3-8fc1-0a17fd9910ca","Platform Infrastructure","ai@socialmediaville.ca",,"phase:post-mvp, prefix:AUT, stack:openclaw",,,,,"2026-05-27T05:58:11.887Z","2026-06-02T23:32:51.389Z",,,,,,,,"Phase 1 — mdeai MVP launch","8985b069-0d57-4e7d-8907-2577f7eb1f6e","🔮 Automation — OpenClaw",,"0aa9582a-9497-46da-8e19-dbdb329c2270",8183,"","SAN-119, SAN-214",
