"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-386","Sanjiovani","SEARCH-001 — Wire hybrid_search_listings + rental_signals","**Track:** Intelligence (MIS) · **intel-order:13** · **intel-1b**

**Stack:** mastra, pgvector, search

**Layer:** ranking

**Spec:** `tasks/data/tasks-data/SEARCH-001-rental-hybrid.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**Note:** After MIS-M1 gate — rentals hybrid

---

# SEARCH-001 — Hybrid rental search

## At a glance

|  |  |
| -- | -- |
| **For** | Camila (nomad / monthly stays) |
| **Why now** | Phase 1b — nomad rental queries need signal boost, not keyword-only |
| **Prerequisite** | MIS-M1 closed; VEC-004 worker live; INT-002 parser bands |

## What we're building

1. `intelligence-rental-search.ts` (new) — slots: nomad, quiet, nightlife, monthly, neighborhood
2. Extend `search-rentals.ts` — `queryText` → hybrid path when present
3. Join `rental_signals` (digital_nomad_score, quiet_score, wifi_score, …)
4. `writeSearchLog` with `hybrid_used`, rank_explanation
5. Fast-path API `/api/rentals/search` — optional hybrid when queryText passed

## Golden queries

| Prompt | Expected signal |
| -- | -- |
| Quiet digital nomad rental Laureles | digital_nomad + quiet boost |
| Monthly stay Poblado under $1500 | monthly + neighborhood |
| Near nightlife but not too noisy | nightlife_score balanced with quiet |

## Done gate

| Check | Evidence |
| -- | -- |
| RPC called | logs show hybrid_used |
| Signals joined | rank_explanation cites rental_signals |
| Fast-path preserved | `1BR Laureles $80/night` still API 200 without agent |
| Tests | vitest hybrid + parser regression |

## Out of scope

* LLM ranking
* Cross-domain itinerary workflow
* save-to-trip

## Verify

```bash
cd mdeapp && npm run test -- search-rentals && npm run smoke:golden-queries  # after DATA-046 row added
```","In Review","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:13, phase:mvp, track:intelligence","","","","","2026-05-30T11:22:40.697Z","2026-06-04T01:45:00.810Z","2026-05-30T13:26:09.979Z","","","","","","","Phase 1 — mdeai MVP launch","","","","6e1683e0-c2fa-4562-a3d0-37098fa8fe5c","11552","SAN-385, SAN-381","",""
"SAN-383","Sanjiovani","DATA-045 — Evidence + grounding tables","**Track:** Intelligence (MIS) · **intel-order:08** · **intel-1**

**Stack:** supabase

**Layer:** grounding

**Spec:** registry only (`intelligence-plan.md` §5)

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**MIS-M1:** ✅ Shipped 2026-06-01 — see `tasks/data/evidence/MIS-M1-2026-06-01.md`

**Note:** 1 migration = evidence only

---

# DATA-045

Spec pending — see `tasks/intelligence/intelligence-plan.md` §5 registry.

Evidence: `tasks/data/evidence/MIS-M1-2026-06-01.md` when shipped.","In Progress","","Urgent","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:08, layer:grounding, phase:intel-1, stack:supabase, track:data, track:intelligence","","","","","2026-05-30T11:22:38.312Z","2026-06-02T12:44:57.501Z","2026-06-01T10:59:23.936Z","","","","","","","Phase 1 — mdeai MVP launch","","","","a1e8b143-b865-49c7-9746-6f6773ce8631","10374","SAN-381, SAN-380, SAN-379","SAN-396, SAN-384",""
"SAN-412","Sanjiovani","INT-009 — CopilotKit mirrors map + slot state to agent","**Track:** Intelligence · **int-seq:09** · **MVP** · **P1**

**Personas:** Camila, Tourist

**Stack:** Mastra, Gemini

**Layer:** routing

**Spec:** `tasks/intelligence/tasks/INT-009-copilot-readable-ui-state.md`

**Index:** [`INDEX.md`](<../../tasks/intelligence/tasks/INDEX.md>)

**Plan:** [`agent-plan.md`](<../../tasks/intelligence/agent-plan.md>)

**Blocked by:** INT-003

**Gate:** Post MIS-M1 — do not start until Phase 1b shipped + browser proof on restaurants

---

# INT-009 — CopilotKit readable UI state

## Problem

Agent does not see map viewport, selected pin, or active filters unless user types them.

## User story

As **Camila**, when I pan the map to Envigado, the agent should know my map context without re-typing.

## Example prompt

User selects rental pin → asks “how walkable is this?” — agent reads `selectedPinId` from readable state.

## Implementation steps

1. Add `useCopilotReadable` for `mapUi` (viewport, selectedPinId, pin counts)
2. Mirror `useCoAgent` state where duplicated
3. Document in `copilotkit-develop` skill usage
4. Concierge instructions: prefer readable state for location bias

## Files likely touched

* `mdeapp/src/components/chat/chat-filter-copilot-instructions.tsx`
* `mdeapp/src/components/maps/` (readable providers)
* `mdeapp/src/mastra/lib/grounding-location-bias.ts`

## Data requirements

`ConciergeWorkingMemory.mapUi` already partial — align shapes.

## RLS / security

No PII in readable payloads.

## Tests

* Component test: readable registers on map move
* Agent test: location bias uses viewport

## Acceptance criteria

- [ ] At least map viewport + selectedPinId readable
- [ ] CopilotKit 1.55.2 only (no v2 mix)

## Failure points

* Readable payload too large (trim fields)

## Dependencies

INT-003

## Verify

```bash
cd mdeapp && npm run dev
# Browser: select pin, ask walkability
```","In Progress","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","int-seq:09, layer:routing, phase:intel-conv, track:intelligence","","","","","2026-05-30T11:51:41.933Z","2026-06-02T12:44:57.561Z","2026-06-01T11:42:17.969Z","","","","","","","Phase 1 — mdeai MVP launch","","","","10672ae3-8ade-45ab-a4aa-288ea52491ad","10331","","",""
"SAN-396","Sanjiovani","AI-004 — Grounding verification pipeline","**Track:** Intelligence (MIS) · **intel-order:15** · **intel-1b**

**Stack:** mastra, supabase

**Layer:** grounding

**Spec:** `tasks/data/tasks-data/AI-004-grounding-verify.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**Note:** Every card ≥1 citation or Places cache hit

---

# AI-004 — Grounding verification pipeline

## At a glance

|  |  |
| -- | -- |
| **For** | Lucía · Tourist trust |
| **Why now** | Phase 1b — hybrid results must show why (evidence), grounded POIs must not hallucinate |
| **Rule** | Verification gate, not primary retrieval |

## What we're building

1. Post-search verifier: each result must have `venue_source_evidence` OR `mapsUrl` from Places OR ADK attribution
2. Flag rows failing verification → downgrade or omit from top-N
3. Log failures to `grounding_failures` (DATA-047 family)
4. UI: only show evidence chip when verification passes

## Paths

| Vertical | Primary | Fallback |
| -- | -- | -- |
| Restaurants | Supabase + signals + evidence | — |
| Cafés / POIs | search-grounded-places | ADK/Places |
| Events | Supabase | web-grounded-events |

## Done gate

| Check | Evidence |
| -- | -- |
| Restaurant cards | evidence row or ai_summary source |
| Grounded cards | Places field mask + attribution |
| No unverified top-3 | automated test |
| Failures logged | grounding_failures table |

## Out of scope

* Replacing hybrid search with ADK
* Auto-booking

## Verify

```bash
cd mdeapp && npm run verify:grounding && npm run smoke:grounding-attribution
```","In Progress","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:15, layer:grounding, phase:intel-1b, stack:mastra, stack:supabase, track:intelligence","","","","","2026-05-30T11:22:47.966Z","2026-06-02T12:44:57.583Z","2026-05-30T13:26:08.354Z","","","","","","","Phase 1 — mdeai MVP launch","","","","562591a1-63e4-4ef8-b0cd-1438f5ac6180","13107","","",""
"SAN-373","Sanjiovani","VEC-004 — Embedding text builders + worker","**Track:** Intelligence (MIS) · **intel-order:12** · **intel-1b**

**Stack:** pgvector, mastra

**Spec:** `tasks/vector/VEC-004-embedding-text-builders.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

---

# VEC-004 - Embedding text builders

## Purpose

Create deterministic builders that turn mdeai entities into clean semantic text. Do not embed raw JSON, ratings, URLs, or IDs.

## User story

As **Camila**, I want ""quiet cafe with fast Wi-Fi"" to match work-friendly cafes, not cafes that only have high ratings or long URLs in the record.

## Real-world example

Good embedding text:

```text
Quiet remote-work cafe in Laureles with ergonomic seating, cold brew, fiber internet, natural lighting, and calm weekday atmosphere.
```

Bad embedding text:

```text
4.8 stars, 123 reviews, open now, https://maps.google.com/...
```

## Flow

```mermaid
flowchart LR
  A[""SQL entity facts""] --> B[""Domain text builder""]
  C[""Approved profile/source text""] --> B
  B --> D[""Clean semantic content_text""]
  D --> E[""content_hash""]
  E --> F[""embedding_jobs""]
```

## Builders to create first

| Builder | Purpose |
| -- | -- |
| `buildCafeEmbeddingText` | Workability, coffee quality, ambience, brunch, local authenticity. |
| `buildCoffeeTourEmbeddingText` | Authenticity, education, logistics, social impact, scenery. |
| `buildRestaurantEmbeddingText` | Cuisine, occasion, dish themes, ambience. |
| `buildEventEmbeddingText` | Audience, theme, venue vibe, schedule context. |
| `buildRentalEmbeddingText` | Lifestyle fit, amenities, host/lease risks, neighborhood fit. |

## Goals

1. Add builder functions in a shared semantic module.
2. Keep facts and semantic descriptions clearly separated.
3. Hash the final text for invalidation.
4. Include tests for good and bad examples.
5. Keep output concise enough for embedding model limits.

## Success criteria

1. Tests prove IDs, URLs, ratings-only strings, and raw JSON are excluded.
2. Tests prove domain-specific semantic fields are included.
3. Each builder returns `{ contentText, contentHash, contentType, sourceIds }`.
4. The output is stable for identical input.
5. No client-side code calls embedding APIs.

## Out of scope

* Calling Gemini embeddings.
* Writing to Supabase.
* Ranking search results.

## Notes

This task makes the future vector layer understandable. Patricia can review the text that generated a recommendation instead of debugging invisible math.","In Progress","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:12, phase:intel-1b, stack:mastra, stack:pgvector, track:intelligence","","","","","2026-05-30T11:22:32.831Z","2026-06-02T12:44:57.608Z","2026-05-30T13:26:08.139Z","","","","","","","Phase 1 — mdeai MVP launch","","","","358d8ff1-ae27-4197-b71d-951ea4d1bbd5","13107","SAN-378","SAN-399, SAN-395, SAN-387, SAN-386, SAN-376, SAN-374",""
"SAN-372","Sanjiovani","VEC-003 — Model registry + embedding contract","**Track:** Intelligence (MIS) · **intel-order:11** · **intel-1b**

**Stack:** pgvector

**Spec:** `tasks/vector/VEC-003-model-registry-and-embedding-contract.md`

**Plan:** [`intelligence-plan.md`](<../../tasks/intelligence/intelligence-plan.md>)

**Queue:** [`intelligence-queue.json`](<../../tasks/linear/intelligence-queue.json>)

**Note:** Phase 1b — before VEC-004 worker

---

# VEC-003 - Model registry + embedding contract

## Purpose

Lock the embedding provider, model, output dimensions, distance operator, and text formatting rules before new vector migrations.

## User story

As **Sofia**, I need one embedding contract for document vectors and query vectors, so that Camila's query embedding lives in the same vector space as the cafe, event, rental, and coffee-tour chunks.

## Real-world example

If mdeai embeds coffee tours with `gemini-embedding-001` at 768 dimensions but later queries with a different Gemini embedding model at 1536 or 3072 dimensions, semantic search becomes invalid. The results might still run but the distances would not mean what the ranking code thinks they mean.

## Model contract

Current live data uses:

| Field | Current value |
| -- | -- |
| Provider | Google Gemini |
| Model | `gemini-embedding-001` |
| Dimension | `768` |
| Storage type | `vector(768)` |
| Distance | cosine distance, `<=>`, `vector_cosine_ops` |

Before coding, re-verify current Gemini embedding model status. Current official docs recommend output dimensions such as 768, 1536, or 3072 and support configurable output dimensionality.

## Flow

```mermaid
flowchart TB
  A[""Verify Gemini embedding docs""] --> B[""Record provider/model/dimension""]
  B --> C[""Record distance + opsclass""]
  C --> D[""Record text formatting contract""]
  D --> E[""Block migrations if contract changes""]
```

## Goals

1. Create a small model registry note or table plan.
2. Record the current live model and dimensions.
3. Define whether V1 keeps `gemini-embedding-001` / 768 or migrates to a newer Gemini embedding model.
4. Define query/document text prefixing and formatting.
5. Define upgrade rules: new model rows first, full re-embed, eval comparison, then cutover.

## Success criteria

1. The embedding model and dimension are named in one canonical place.
2. The task cites the official Gemini embeddings docs used for the decision.
3. The contract states that query and document embeddings must use the same model and formatting.
4. The contract states that mixed-model similarity is invalid.
5. VEC-002 cannot apply a migration until this contract is complete.

## Out of scope

* Re-embedding old rows.
* Choosing OpenAI as default.
* Building multimodal embeddings.

## Notes

The strategy doc's ""lock `gemini-embedding-001` 768"" recommendation is correct for compatibility with current live rows. It should still be re-verified before new migrations because Gemini embedding docs move quickly.","In Progress","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","intel-order:11, phase:intel-1b, stack:pgvector, track:intelligence","","","","","2026-05-30T11:22:32.360Z","2026-06-02T12:44:57.637Z","2026-05-30T13:26:07.925Z","","","","","","","Phase 1 — mdeai MVP launch","","","","7e5e6699-950a-43a4-b144-f7cc1636f2d5","13107","SAN-370","SAN-420, SAN-373",""
"SAN-740","Sanjiovani","CK-007 — HITL booking confirmation card (price + details before Stripe charge)","## CK-007 — HITL booking confirmation card

**Skill:** `copilotkitV1`, `mastra` · **Persona:** Andrés / Miguel (ticket buyer)

### Done when

* `bookingWorkflow` step 2 calls `renderAndWaitForResponse` before `process_payment`
* `BookingConfirmCard` renders in chat: event name, date, tier, quantity, total price, last-4 card digits
* \[Confirm & Pay\] → proceeds to Stripe `paymentIntent.create` with idempotency key
* \[Cancel\] → workflow ends, no charge, `{ booked: false }` returned
* Stripe charge **never** happens without this HITL step (no bypass path)
* Idempotency key = `booking_${userId}_${eventId}_${tierId}_${timestamp}` passed to Stripe
* Playwright spec: confirm → booking in DB + Stripe PI created; cancel → no PI

### Critical rule

No Stripe charge without explicit user confirmation. This is the hard gate referenced in LESSONS.md and the bookingWorkflow Mermaid in `docs/wireframes/_arch/workflows.md`.

### References

* Skill: `.claude/skills/copilotkitV1/`
* Workflow: `docs/wireframes/_arch/workflows.md` — bookingWorkflow diagram
* Wireframe: `docs/wireframes/events/003-event-checkout.md`
* LESSONS.md: Stripe payment risk","Todo","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","MAS, prefix:INT, track:ai","","","","","2026-06-08T13:48:42.467Z","2026-06-08T13:48:43.522Z","","","","","","2026-06-15T13:48:43.519Z","","Phase 1 — mdeai MVP launch","f2033575-c9e8-4146-ac29-fe06f8b6e2d2","🔧 AGT — Phase 1: Core Reliability","MediumRisk","0c719442-c096-4fb3-b080-3cf94b8cecba","125","","",""
"SAN-743","Sanjiovani","AGT-venueAgent — venueAgent with Places API New + Supabase venue table","## AGT-venueAgent — Venue search + shortlist agent

**Skill:** `mastra`, `gemini`, `mde-maps`, `mde-supabase` · **Persona:** Roberto (host)

### Done when

* `venueAgent` has `search_venues` tool: queries Supabase `venues` + enriches via Places API New
* ""Find rooftop venues for 200 people in El Poblado"" → 4 ranked `VenueCard` results + map pins
* Every Places API New call includes `X-Goog-FieldMask` — no call without it
* Every `<AdvancedMarker>` for venue pins has `mapId` on parent `<Map>`
* Venue cards render via `useCopilotAction({ name: ""search_venues"", available: ""disabled"", render })`
* Vitest: `search_venues` tool returns correctly shaped results; FieldMask present in every fetch

### Places API FieldMask (minimum)

```
places.id,places.displayName,places.location,places.formattedAddress,places.rating,places.photos
```

### Critical rules

* `X-Goog-FieldMask` on **every** Places API New request — omitting it is a billing bug
* `mapId` on every `<Map>` that has `<AdvancedMarker>`
* Supabase query uses anon client (not service role) — venues table is public-read

### References

* Skill: `.claude/skills/mde-maps/`, `.claude/skills/mde-supabase/`, `.claude/skills/mastra/`
* Wireframe: `docs/wireframes/venues/001-venue-search.md`
* LESSONS.md: Maps cost risk, FieldMask requirement","Todo","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","MAS, prefix:INT, track:ai","","","","","2026-06-08T13:49:14.655Z","2026-06-08T13:49:15.687Z","","","","","","2026-06-15T13:49:15.685Z","","Phase 1 — mdeai MVP launch","f2033575-c9e8-4146-ac29-fe06f8b6e2d2","🔧 AGT — Phase 1: Core Reliability","MediumRisk","0c7872e1-c9f9-40e0-bcba-77916472f0ab","124","","",""
"SAN-734","Sanjiovani","CK-001 — Wire CopilotSidebar persistent on all /host/* routes","## CK-001 — CopilotSidebar persistent on /host/\* routes

**Skill:** `copilotkitV1` · **Persona:** Roberto (host)

### Done when

* `CopilotSidebar` renders on `/host/event/new`, `/host/events`, `/host/events/[id]/tickets`, `/host/events/[id]/attendees`
* Sidebar is **open by default** on all host routes (not collapsed)
* Sidebar survives client-side navigation between host routes (no re-mount flash)
* `agentName: ""conciergeAgent""` matches the key in `Mastra({ agents: { conciergeAgent } })`
* `npm run dev` boots clean; no console errors on any host route

### Implementation notes

* Use `CopilotSidebar` from `@copilotkit/react-ui@1.55.2` — v1 only, no v2 imports
* Wrap in the host layout at `src/app/host/layout.tsx`
* Pin: `@copilotkit/react-ui: ""1.55.2""` — do not bump
* CSS: use `--copilot-kit-primary-color` var matching DESIGN.MD brand token

### References

* Skill: `.claude/skills/copilotkitV1/`
* Pattern: `CopilotKit/examples/integrations/mastra/`
* LESSONS.md: CopilotKit POST storm — do not create multiple `<CopilotKit>` providers","Todo","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","MAS, track:ai","","","","","2026-06-08T13:47:40.585Z","2026-06-08T13:47:42.104Z","","","","","","2026-06-15T13:47:42.098Z","","Phase 1 — mdeai MVP launch","f2033575-c9e8-4146-ac29-fe06f8b6e2d2","🔧 AGT — Phase 1: Core Reliability","MediumRisk","107342cb-6715-44a6-959f-c9155e0e1fb1","126","","",""
"SAN-739","Sanjiovani","CK-006 — Generative rental card via useCopilotAction(available:""disabled"", render)","## CK-006 — Generative rental card (useCopilotAction disabled + render)

**Skill:** `copilotkitV1`, `mastra` · **Persona:** Camila (consumer)

### Done when

* `useCopilotAction` with `available: ""disabled""` registered for `search_rentals` on `/rentals`
* When `rentalAgent` calls `search_rentals`, a `RentalCard` renders in the chat automatically — no agent-side render code
* `RentalCard` displays: photo, title, neighborhood, beds, price, match score, wifi badge
* \[Inquire\] button on card triggers `rentalLeadWorkflow`
* \[Schedule Viewing\] button triggers slot picker
* Matching name: `useCopilotAction({ name: ""search_rentals"" })` must exactly match the Mastra tool id `""search_rentals""`
* Vitest unit test: mock agent call → card renders with correct props

### Implementation pattern

```typescript
useCopilotAction({
  name: ""search_rentals"",
  available: ""disabled"",  // Never called from frontend
  render: ({ args, result }) => (
    <RentalCard
      rental={result}
      onInquire={() => startInquiryFlow(result.id)}
      onScheduleViewing={() => scheduleViewing(result.id)}
    />
  )
})
```

### References

* Skill: `.claude/skills/copilotkitV1/`
* Pattern: `docs/wireframes/_arch/copilotkit.md` — Generative Card Pattern
* Wireframe: `docs/wireframes/rentals/001-rental-search.md`","Todo","","High","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","MAS, prefix:INT, track:ai","","","","","2026-06-08T13:48:33.462Z","2026-06-08T13:48:34.390Z","","","","","","2026-06-15T13:48:34.387Z","","Phase 1 — mdeai MVP launch","f2033575-c9e8-4146-ac29-fe06f8b6e2d2","🔧 AGT — Phase 1: Core Reliability","MediumRisk","ab1b54d8-cf6d-4cfb-bf3b-1e700e73fa30","125","","",""
