"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-531","Sanjiovani","Harden SECURITY DEFINER / mutable-search_path RPCs (Supabase advisor)","## Problem

The Supabase security advisor (`function_search_path_mutable`) flagged \~113 functions on project `zkwcbyxiwklihegjhuql` (count per the 2026-06-01 advisor scan — **re-confirm live before sizing**). Functions that are `SECURITY DEFINER` **and** have a role-mutable `search_path` are a privilege-escalation surface: a caller who can influence `search_path` can shadow built-in objects and have the definer-privileged function execute attacker-controlled code.

Split out of AUTH-011 ([SAN-367](https://linear.app/sanjiovani/issue/SAN-367/auth-011-production-auth-checklist)) as standalone hardening — it is **not** a launch blocker for the auth checklist, but should be burned down before/just after MVP.

## Scope

* Re-run the advisor to get the **current** list + count:
  * Supabase advisor `get_advisors(type: ""security"")` → filter `function_search_path_mutable`.
  * Cross-check which of those are `SECURITY DEFINER` (highest risk first).
* For each flagged function, pin the search path: `ALTER FUNCTION <fn>(<args>) SET search_path = '';` (and schema-qualify all references inside the body), or `SET search_path = public, pg_temp` where empty is impractical.
* Prefer `SECURITY INVOKER` for any function that does not genuinely need definer rights.

## Acceptance criteria

- [ ] Advisor re-run produces the authoritative list (replace the \~113 estimate with the real number).
- [ ] Every `SECURITY DEFINER` function has a fixed `search_path`.
- [ ] `function_search_path_mutable` warnings = 0 in a fresh `get_advisors(type: ""security"")`.
- [ ] No RLS regression: spot-check that hardened RPCs still return correct rows for an authed user and 0 for an impostor (same probe used in AUTH-011 RLS verification).
- [ ] Migration applied via `apply_migration` (versioned, in repo).

## Context

* Driver: AUTH-011 production auth audit ([SAN-367](https://linear.app/sanjiovani/issue/SAN-367/auth-011-production-auth-checklist)), 2026-06-02.
* Related advisor item: leaked-password protection is a dashboard toggle, tracked separately on [SAN-367](https://linear.app/sanjiovani/issue/SAN-367/auth-011-production-auth-checklist)'s config checklist — not part of this issue.","Backlog",,"Medium","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"area:stability, stack:supabase, track:core",,,,,"2026-06-03T01:12:22.769Z","2026-06-03T01:12:22.769Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"cdbb87d0-d047-49b9-8688-5e4df2f1c204",8063,"SAN-367","",
"SAN-546","Sanjiovani","OPS-JOURNEY — Prod live journey matrix J05–J20","'> **Plain English:** Lucía runs Carlos nightlife + Sarah brunch prompts on [**mdeai.co**](<http://mdeai.co>) and logs PASS before venues stop — not localhost-only.

**Queue:** Discovery Beta row 10 · **Spec:** `tasks/testing/09-prod-live-journey-matrix.md`

**Verify:** `cd mdeapp && npm run verify:task -- OPS-JOURNEY`

## Scope

* Manual + Playwright proof for journeys **J05–J20** on production
* Core 4-query matrix already in `prod-synthetic-smoke.spec.ts` ([SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) soak)
* Venues subset **J05–J08** in `prod-venues-journey.spec.ts`
* Log results to `tasks/testing/evidence/YYYY-MM-DD/prod-live-RESULTS.md`

## Acceptance

- [ ] J05–J08 PASS on [mdeai.co](<http://mdeai.co>) (venues)
- [ ] Remaining J09–J20 documented PASS or explicit defer with reason
- [ ] Evidence file committed under `tasks/testing/evidence/`

## Refs

* `tasks.md` row 10 · Venues stop gate with VEN-031
* **Blocked by:** [SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) (3× nightly synthetic PASS)","Todo",,"Urgent","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"area:launch, phase:launch, phase:mvp, prefix:OPS, stack:playwright, track:core",,,,,"2026-06-04T01:26:55.645Z","2026-06-07T14:58:39.906Z",,,,,,"2026-06-05T01:26:56.825Z",,"Phase 1 — mdeai MVP launch",,,"Breached","9113b30c-f3b4-492b-9594-74512334957d",6608,"SAN-462, SAN-115","",
"SAN-548","Sanjiovani","F13 — Thread persistence across Vercel cold-start","'> **Plain English:** Camila's turn 11 still remembers Laureles budget from turn 1 after a Vercel cold-start — not in-memory-only chat.

**Queue:** Discovery Beta row 8 · **Spec:** `tasks/archive/core/F13-ai-runs-observability.md` (observability Done) + **this row** = `mastra_threads` / CopilotKit `threadId` / working memory on cold boot

**Persona:** Camila · **Surface:** `/chat` · `/api/copilotkit`

## Scope (queue F13 — not reopening ai_runs port)

* Persist thread history via Mastra Postgres storage + CopilotKit `threadId`
* Prove multi-turn memory survives serverless cold start on prod
* Wire `LoggingMastraAgent` if needed for turn audit (F13 carve-out paths only)

## Acceptance

- [ ] 10+ turn thread on prod retains budget/neighborhood from turn 1 after redeploy
- [ ] `mastra_threads` row exists for session
- [ ] Vitest subset green on touched files
- [ ] `npm run floor` on touched area

## Refs

* `tasks.md` row 8
* `mdeapp/src/app/api/copilotkit/route.ts`
* `.claude/skills/copilotkit-integrations/references/integrations/mastra.md` Pattern 1","Todo",,"Urgent","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"area:launch, phase:launch, phase:mvp, prefix:OPS, stack:copilotkit, stack:mastra, track:core",,,,,"2026-06-04T01:27:31.781Z","2026-06-07T14:58:39.906Z",,,,,,"2026-06-05T01:27:32.428Z",,"Phase 1 — mdeai MVP launch",,,"Breached","f835b5a7-80b7-4a5f-90a1-4283e6e254c7",6607,"SAN-115","",
"SAN-407","Sanjiovani","INT-004 — Remove canned rental clarify bypass before concierge agent","'> **Plain English:** Stop showing the hard-coded rental clarify message when Camila already typed budget, dates, or city — route those queries to the concierge agent instead.

**Blocker (2026-06-03):** Still **Todo** — `RENTAL_CLARIFY_MESSAGE` / `shouldInstantRentalClarify` still active in `use-rental-search-fast-path.ts`. Ship after INT-003 browser proof.

**Order:** Tier 3 intelligence — int-seq:04 after INT-003.

**Track:** Intelligence · **Spec:** `tasks/intelligence/tasks/INT-004-no-canned-clarify-bypass.md`

**Blocked by:** INT-003

**Verify:** `cd mdeapp && npm run test -- src/lib/__tests__/rental-search-fast-path.test.ts`","Todo",,"Urgent","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:intel-1, phase:mvp, track:intelligence",,,,,"2026-05-30T11:51:37.736Z","2026-06-08T15:03:39.051Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"fe4385e3-3e50-44ff-9609-fb20d5aa1b94",8121,"SAN-408, SAN-823, SAN-822","",
"SAN-406","Sanjiovani","INT-003 — Neighborhood clarify — not generic budget/dates re-ask","'> **Plain English:** When Camila types a partial rental query, ask a smart neighborhood question — not a generic ""what's your budget and dates?"" form.

**Blocker (2026-06-03):** Still **Todo** — `shouldInstantRentalClarify` fires on disk; UX-001 concierge is restored but this routing band is not browser-proven. Do **not** mark Done until hero query uses Gemini clarify path.

**Order:** Tier 3 intelligence — after MVP exit gates; blocked during [SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) soak for risky chat merges.

**Track:** Intelligence · **int-seq:03** · **Spec:** `tasks/intelligence/tasks/INT-003-gemini-smart-clarify-routing.md`

**Blocked by:** INT-001 ✅, INT-002 ✅

**Unblocks:** INT-004, INT-005 (regression tests shipped; clarify path still open)","Todo",,"Urgent","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:intel-1, phase:mvp, track:intelligence",,,,,"2026-05-30T11:51:37.212Z","2026-06-08T15:03:39.068Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"e5ed6704-3fbf-4e68-ad28-dcab4b1f3e98",8121,"SAN-405, SAN-404, SAN-408, SAN-823, SAN-822","SAN-412, SAN-407",
"SAN-178","Sanjiovani","PAY-001 — Live ticket purchase on production","'> **Plain English:** Andrés buys a real event ticket on [mdeai.co](<http://mdeai.co>) with Stripe; payment completes and the ticket QR appears in his wallet.

**Order:** #1 in MVP exit chain (before PAY-003 → EVT-002 → EVT-001).

## Product code

**PAY-001** — Prove live ticket purchase on production

| Traceability | Value |
| -- | -- |
| Linear | [SAN-178](https://linear.app/sanjiovani/issue/SAN-178/pay-001-live-ticket-purchase-on-production) |
| Spec | `OPS-ANDRES-G1` |
| Prefix | PAY |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

**Spec:** `OPS-ANDRES-G1` · **IMP:** 079 · **Persona:** Andrés

| Field | Value |
| -- | -- |
| Task ID | `OPS-ANDRES-G1` |
| Spec path | `OPS-ANDRES-G1` |
| Board group | area:launch, area:payments |

*Title updated by* `scripts/linear-apply-product-titles.mjs` *(2026-05-30).*

---

**Task ID:** `OPS-ANDRES-G1`
**Spec:** `todo.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** phase-1

---

*Imported from mdeai tasks/ — spec file is source of truth.*","Todo",,"Urgent","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"area:launch, area:payments, phase:launch, prefix:PAY, stack:nextjs, stack:stripe, track:core",1,"Cycle 1","2026-06-08T05:00:00.000Z","2026-06-22T05:00:00.000Z","2026-05-27T05:50:25.051Z","2026-06-07T14:58:39.906Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"6787fc3e-2a12-4ca7-8f7a-1856f1686e65",17865,"SAN-551, SAN-115, SAN-715, SAN-595","",
"SAN-95","Sanjiovani","SYS-001 — Port evaluationAgent + scorers + Vercel deploy prep","## Product code

**SYS-001** — Port evaluationAgent + scorers + Vercel deploy prep

| Traceability | Value |
| -- | -- |
| Linear | SAN-95 |
| Spec | `F20` |
| Prefix | SYS |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

Closes Phase 1 observability + deployment: - **evaluationAgent** — scoring/eval helper (per PRD §13 ""evaluation reused"") - **3 scorers** — written fresh based on legacy `weather-scorer.ts` pattern: `toolCallAppropriatenessScorer`, `completenessScorer`, `translationScorer` - **Vercel build script** — only needed if migrating to `mastra build` (we use `next build`; defer unless required)

## Goals

Closes Phase 1 observability + deployment: - **evaluationAgent** — scoring/eval helper (per PRD §13 ""evaluation reused"") - **3 scorers** — written fresh based on legacy `weather-scorer.ts` pattern: `toolCallAppropriatenessScorer`, `completenessScorer`, `translationScorer` - **Vercel build script** — only needed if migrating to `mastra build` (we use `next build`; defer unless required)

## Features

* Implement **Port evaluationAgent + scorers + Vercel deploy prep** per spec

## Real-world example

Closes Phase 1 observability + deployment: - **evaluationAgent** — scoring/eval helper (per PRD §13 ""evaluation reused"") - **3 scorers** — written fresh based on legacy `weather-scorer.ts` pattern: `toolCallAppropriatenessScorer`, `completenessScorer`, `translationScorer` - **Vercel build script** — only needed if migrating to `mastra build` (we use `next build`; defer unless required)

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `F20` |
| Spec | `tasks/core/F20-evaluation-and-deploy-prep.md` |
| Type | screen build spec |
| Repo status | Not Started |
| Priority | P1 |
| Phase | W8-W9 — observability + deployment |
| Depends on | \[F19-concierge-and-restaurants-attractions\] |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo",,"High","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:post-mvp, prefix:SYS, stack:nextjs, stack:supabase, track:core",,,,,"2026-05-27T05:49:04.398Z","2026-06-02T23:39:02.964Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"a5e8c41b-8ad6-431b-8bb2-0a682ee29258",17866,"","",
"SAN-96","Sanjiovani","SYS-002 — Auto-review — manual calibration (rules + subagent only, no hooks)","## Product code

**SYS-002** — Auto-review — manual calibration (rules + subagent only, no hooks)

| Traceability | Value |
| -- | -- |
| Linear | SAN-96 |
| Spec | `F21A` |
| Prefix | SYS |

*Catalog naming:* `scripts/linear-apply-prefix-catalog.mjs` *· Registry:* `tasks/linear/prefix-catalog.json`

---

## Purpose

The v3 auto-review plan is solid on paper (verified against `code.claude.com/docs/en/hooks` and `anthropics/claude-code-action@v1.0.127`) but has **zero runtime evidence**. Before automating via hooks + Stop-trigger + CI, we need to know whether the rule set actually catches real drift in *this* codebase without crying wolf. F21A is that calibration step. It creates the rules file + the reviewer subagent and uses **manual invocation only** — no hook plumbing, no `decision:""block""` JSON, no GitHu

## Goals

The v3 auto-review plan is solid on paper (verified against `code.claude.com/docs/en/hooks` and `anthropics/claude-code-action@v1.0.127`) but has **zero runtime evidence**. Before automating via hooks + Stop-trigger + CI, we need to know whether the rule set actually catches real drift in *this* codebase without crying wolf. F21A is that calibration step. It creates the rules file + the reviewer subagent and uses **manual invocation only** — no hook plumbing, no `decision:""block""` JSON, no GitHu

## Features

* Implement **Auto-review — manual calibration (rules + subagent only, no hooks)** per spec

## Real-world example

The v3 auto-review plan is solid on paper (verified against `code.claude.com/docs/en/hooks` and `anthropics/claude-code-action@v1.0.127`) but has **zero runtime evidence**. Before automating via hooks + Stop-trigger + CI, we need to know whether the rule set actually catches real drift in *this* codebase without crying wolf. F21A is that calibration step. It creates the rules file + the reviewer subagent and uses **manual invocation only** — no hook plumbing, no `decision:""block""` JSON, no GitHu

## Tracking

| Field | Value |
| -- | -- |
| Task ID | `F21A` |
| Spec | `tasks/core/F21A-auto-review-calibration.md` |
| Type | screen build spec |
| Repo status | Not Started |
| Priority | P2 |
| Phase | W2 — Day 4 / Day 5 (after F09 + F10 ship) |
| Depends on | \[F09\] |

---

*Spec file on disk is source of truth. Repo* `status: Done` *→ Linear **In Review** until user approves Done.*","Todo",,"High","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:post-mvp, prefix:SYS, stack:nextjs, stack:supabase, track:core",,,,,"2026-05-27T05:49:04.961Z","2026-06-02T23:39:03.701Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"4c23e7b6-a630-40be-bc04-7dd96d6e7528",17866,"","",
"SAN-460","Sanjiovani","PR-18 — SHA-pin GitHub Actions","**Track:** PR remediation · **pr-order:20**

**Spec:** `tasks/PR/tasks/PR-18-sha-pin-actions.md`

**Blocked by:** [SAN-462](<https://linear.app/sanjiovani/issue/SAN-462>) soak gate — start **after** Stable Beta sign-off

**Prod:** `4de18f1`

---

Pin all `.github/workflows/**` `uses:` to commit SHA (supply-chain).

## Testing & proof

```bash
rg 'uses:.*@v[0-9]' .github/workflows/  # empty after
npm run floor
```

- [ ] Every `uses:` is 40-char SHA + `# vX.Y.Z` comment
- [ ] CI green post-pin","Todo",,"Medium","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:mvp, prefix:OPS, track:core, track:pr",,,,,"2026-06-01T17:18:18.603Z","2026-06-04T01:44:52.120Z",,,,,,,,"Phase 1 — mdeai MVP launch",,,,"51835de1-2f8e-4f95-b5b8-0ddf750bcc83",9977,"SAN-462","",
"SAN-458","Sanjiovani","PR-16 — Floor + review branch protection","'> **Summary:** Broken tests must not reach `main`. Floor CI already runs on every PR — you still need to flip **one GitHub admin switch** so merges require **Floor / floor** + **1 approval**.

**Who cares:** Sofía (CI) · Lucía (QA) · Camila (never gets a red deploy)

**Spec:** `tasks/PR/tasks/PR-16-floor-merge-gate.md` · **Doc:** `tasks/PR/docs/16-branch-protection.md`

---

## Scorecard

| Task | Feature | Use case | Real-world example | Score | Grade |
| -- | -- | -- | -- | -- | -- |
| PR-16 CI | `floor.yml` on every PR | Block bad code before merge | Lint fail on PR → merge button disabled | **100%** | **A** |
| PR-16 admin | Branch protection on `main` | Enforce floor + human review | #32-style debt cannot land silently | **0%** | **F** |
| **Overall** [SAN-458](https://linear.app/sanjiovani/issue/SAN-458/pr-16-floor-review-branch-protection) | Safe `main` → Vercel prod | Camila never hits broken chat after deploy | Green floor + approved PR only | **70%** | **C** |

---

## What to do (3 steps)

```mermaid
flowchart LR
    A[Open GitHub branch rules] --> B[Require Floor / floor + 1 review]
    B --> C[Trial PR with lint fail blocked]
    C --> D[Record evidence → Done]
```

1. [GitHub branch settings](<https://github.com/amo-tech-ai/mdeapp/settings/branches>) → rule for `main`
2. Require: **Pull request** · **1 approval** · status check `Floor / floor` · up-to-date branch
3. Trial: open PR with intentional lint error → merge blocked → fix → green → merge OK

---

## Success criteria

| \# | Pass when |
| -- | -- |
| S1 | `floor.yml` green on PRs (already ✅) |
| S2 | Branch protection requires `Floor / floor` |
| S3 | Branch protection requires **≥1 review** |
| S4 | Trial failing PR **cannot** merge |
| S5 | Settings recorded in `tasks/testing/evidence/PR-16-branch-protection.md` |

---

## Production-ready checklist

- [ ] Admin applied branch rule on `amo-tech-ai/mdeapp` `main`
- [ ] Required check name is exactly `Floor / floor`
- [ ] Non-admins cannot bypass
- [ ] Trial blocked-merge proof captured
- [ ] Evidence file committed
- [ ] Linear [SAN-458](https://linear.app/sanjiovani/issue/SAN-458/pr-16-floor-review-branch-protection) → Done

---

## Tests / verify

```bash
cd mdeapp && npm run floor                    # local baseline
grep -q 'name: Floor' .github/workflows/floor.yml
gh api repos/amo-tech-ai/mdeapp/branches/main/protection | jq '.required_status_checks,.required_pull_request_reviews'
```

**Expected after admin step:** protection JSON shows `Floor / floor` + `required_approving_review_count: 1`

**Today:** protection API often returns **404** — that is the remaining work.

---

## Already done (do not rebuild)

* `.github/workflows/floor.yml` — lint · typecheck · build · test · audit
* [Floor workflow runs](<https://github.com/amo-tech-ai/mdeapp/actions/workflows/floor.yml>)

---

## Out of scope

* Changing floor gates themselves
* [SAN-462](https://linear.app/sanjiovani/issue/SAN-462/ops-001-stable-beta-soak-gate-3-scheduled-prod-synthetic) soak policy
* PR-18 SHA-pin (after soak)","In Progress",1,"High","0da60f0e-525d-4819-9f50-909eaa7ba845","Core Foundation","ai@socialmediaville.ca",,"phase:launch, phase:mvp, track:pr",,,,,"2026-06-01T17:18:17.288Z","2026-06-07T14:58:39.906Z","2026-06-02T13:41:58.962Z",,,,,,,"Phase 1 — mdeai MVP launch",,,,"a49f348b-cfe3-4fdf-b904-9e0a74d36bf3",8753,"SAN-462, SAN-115, SAN-461","",
