"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-588","Sanjiovani","AGT-00 — Mastra Agent Feature Adoption (epic)","**Epic — Mastra Agent Feature Adoption (AGT-00…16)**

Roadmap: `tasks/mastra/plan/1-agents-plan.md` (agents) + `tasks/mastra/plan/2-mastra-surface-gap-analysis.md` (full surface) · index `tasks/mastra/plan/index-mastra.md`.
Audits: `june5-mastra-audit.md` (runtime, B−/62%) · `june-5-mastra-tasks.md` (backlog spec audit, 88%) · **Phase 0 forensic audit** `tasks/mastra/audit/2/3-prompt.md` (2026-06-06).

**Problem in one line:** the concierge core is good, but the **quality + observability layers are empty** — 0 scorers, 0 trace spans, 0 output processors — on a live AI-search product.

**Phases (24 issues):**

* **Phase 0 — Production Safety** (implementation order **589→590→605→591** · AGT-00C/A/B/D): telemetry ✅ Done, faithfulness scorer, grounding-coverage extension, runtime allowlist. *Moves the grade.*
* **Phase 1 — Core Reliability** (AGT-03/04A/04B/04C/05/06/01 · [SAN-592](https://linear.app/sanjiovani/issue/SAN-592/agt-03-structured-output-for-evaluationagent-scorer-judge)/606/596/598/593/594/595): structured output, output+input processors, cache/cost-guard, native approval.
* **Phase 2 — Business Workflows** (AGT-11/12/15/14/16/09/07 · [SAN-601](https://linear.app/sanjiovani/issue/SAN-601/agt-11-checkout-workflow-mastra-deterministic-idempotent-hitl)/602/607/608/609/600/599): checkout + publish workflows, **error-handling/compensation (AGT-15 mandatory co-req of 11/12)**, suspend/resume, progressive streaming, background tasks, tool shaping.
* **Phase 3 — Advanced** (AGT-02→13→08, AGT-10 · [SAN-597](https://linear.app/sanjiovani/issue/SAN-597/agt-02-resource-scoped-working-memory-durable-prefs)/610/603/604): resource memory → memory processors → semantic recall; interop spike.

> **Note (reviewer-corrected 2026-06-05):** AGT-02 (resource memory, [SAN-597](https://linear.app/sanjiovani/issue/SAN-597/agt-02-resource-scoped-working-memory-durable-prefs)) is **Phase 3**, not Phase 1 — clustered with AGT-13/08. Surface gaps AGT-13…16 filed under [SAN-610](https://linear.app/sanjiovani/issue/SAN-610/agt-13-memory-processors-preference-budget-neighborhood-extraction)/608/607/609.

**Hard gate (all children):** every API verified in `@mastra/core@1.35.0` — adoption is config + wiring, no upgrades. Branch `ai/san-NNN-agt-NN-slug`; 445+ Vitest + Playwright green; localhost runtime proof before Done.

**Do NOT:** CopilotKit v2 migration (closes 0 of 2 P0s). Supervisor agents. MCP servers in runtime. `@mastra/rag` (use Supabase pgvector). Workspace fs/lsp/skills. Time-travel.","Backlog","","Urgent","6dd4b5e2-3b63-4b55-a866-4239bbbec444","AI & Intelligence","ai@socialmediaville.ca","","MAS, phase:mvp, stack:mastra, track:intelligence","","","","","2026-06-06T00:55:21.808Z","2026-06-06T12:54:51.340Z","","","","","","2026-06-07T00:55:22.849Z","","Phase 1 — mdeai MVP launch","","","Breached","e8e15c71-fc9d-4df8-b5d4-65a2072fadba","3755","SAN-616","",""
"SAN-526","Sanjiovani","PAY-005 — Mobile checkout UX (Stripe + Apple/Google Pay + QR)","## Product code

**PAY-005** — Mobile checkout UX (Stripe + Apple/Google Pay + QR)

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/pay-005-mobile-checkout.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | /events/\[slug\], /me/tickets |
| Persona | Andrés |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","phase:mvp, scr, stack:nextjs, stack:playwright, stack:stripe, track:screens","","","","","2026-06-02T23:43:20.381Z","2026-06-08T05:59:44.332Z","","","","","","2026-06-03T23:43:21.122Z","","","","","Breached","2e70dbaf-74ee-4433-802c-16ff717c03dd","8147","SAN-489","",""
"SAN-524","Sanjiovani","MAP-011-M — Mobile map interaction system","## Product code

**MAP-011-M** — Mobile map interaction system

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/map-011-mobile-map-system.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

> **Note:** Not Discovery MAP-011 route previews (SAN-229). Mobile-only map sheet + pinch-zoom.

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","phase:mvp, scr, track:maps, track:screens","","","","","2026-06-02T23:43:15.853Z","2026-06-08T05:59:41.218Z","","","","","","2026-06-03T23:43:16.478Z","","","","","Breached","fdb9b602-d7dc-493d-99ac-9fe0707905ba","8147","SAN-489, SAN-577","SAN-530, SAN-528",""
"SAN-522","Sanjiovani","MOB-CHAT-001 — Mobile chat composer + keyboard UX","## Product code

**MOB-CHAT-001** — Mobile chat composer + keyboard UX

| Traceability | Value |
| -- | -- |
| Spec | `tasks/wireframes/mobile/mob-chat-001-mobile-chat-composer.md` |
| Index | `tasks/wireframes/mobile/index-mobile.md` |
| Route | / |
| Persona | Camila |

---

Disk spec is source of truth. Playwright + viewport evidence required before Done.

**Depends on:** SAN-489","Backlog","","Urgent","1faa8d97-2c93-4e56-b1e9-08a41013c980","UX","ai@socialmediaville.ca","","phase:mvp, scr, stack:copilotkit, track:screens","","","","","2026-06-02T23:43:09.650Z","2026-06-08T05:59:37.228Z","","","","","","2026-06-03T23:43:10.459Z","","","","","Breached","7172ca46-9ff2-45c5-a930-154496d04184","8147","SAN-489, SAN-578","SAN-530, SAN-529, SAN-528, SAN-526, SAN-525, SAN-523",""
"SAN-775","Sanjiovani","AIE-022 [MVP] Global UX — ⌘K, FAB, pills, Copilot Tasks","## Order: 22/32

**Disk:** `MVP/AIE-022-mvp-global-ux-patterns.md` · Wireframe 037

| Pattern | Examples |
| -- | -- |
| ⌘K | Create Event, Find Venue, View Revenue |
| AI FAB | Persistent host + attendee routes |
| Context pills | Event · Venue · Ticket · Analytics |
| Copilot Tasks | Venue shortlist, Research sponsors |

Single CopilotKit root · `prefers-reduced-motion`","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr, UX","","","","","2026-06-08T14:05:04.414Z","2026-06-08T14:05:09.370Z","","","","","","2026-06-15T14:05:09.288Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","c75355dc-ea56-4509-a950-c6eb9f41e550","86","","SAN-729",""
"SAN-774","Sanjiovani","AIE-021 [MVP] Event health dashboard","## Order: 21/32

**Disk:** `MVP/AIE-021-mvp-event-health-dashboard.md` · Wireframe 032
**Route:** `/host/events/[id]/health`

```mermaid
flowchart LR
  M[Sales pace] --> SC[Health score 0-100]
  V[Venue fit] --> SC
  E[Engagement] --> SC
  SC --> ACT[Suggested actions HITL]
```

Uses hostOpsAgent — no new agent","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr, track:ai","","","","","2026-06-08T14:05:03.821Z","2026-06-08T14:05:08.912Z","","","","","","2026-06-15T14:05:04.711Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","2d530c75-69b7-4582-9b61-fdaa173a78a3","86","","SAN-729, SAN-766",""
"SAN-773","Sanjiovani","AIE-020 [MVP] Host bookings /host/bookings","## Order: 20/32

**Disk:** `MVP/AIE-020-mvp-host-bookings.md` · Wireframe 031

```mermaid
flowchart LR
  REQ[Booking request] --> VB[venue_bookings]
  VB --> HOST[/host/bookings]
  HOST --> ADM[Admin approve VEN-007]
```","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, prefix:VEB, scr","","","","","2026-06-08T14:05:01.338Z","2026-06-08T14:05:11.186Z","","","","","","2026-06-15T14:05:11.183Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","0e6faf3f-39c6-4c89-b53b-994ce571e2d0","86","SAN-502, SAN-500","SAN-764",""
"SAN-772","Sanjiovani","AIE-019 [MVP] Approvals + notifications + host inbox","## Order: 19/32

**Disk:** `MVP/AIE-019-mvp-approval-notifications-inbox.md`
**Routes:** `/host/approvals`, `/me/notifications`, `/host/inbox` (021, 023, 024)

```mermaid
flowchart TD
  HITL[HITL decisions] --> AL[approval_logs]
  SYS[System events] --> N[notifications]
  MSG[Guest Q&A] --> I[host inbox]
```","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr","","","","","2026-06-08T14:05:00.204Z","2026-06-08T14:05:09.315Z","","","","","","2026-06-15T14:05:09.262Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","91b70567-14bb-4ba7-bf1e-fc1f601369f2","86","","SAN-758",""
"SAN-771","Sanjiovani","AIE-018 [MVP] crmLeadScoreWorkflow + /host/crm","## Order: 18/32

**Disk:** `MVP/AIE-018-mvp-crm-lead-score-workflow.md` · Wireframe 017

```mermaid
flowchart LR
  L[crm_leads] --> W[crmLeadScoreWorkflow]
  W --> H[hot/stale flags]
  H --> UI[Pipeline kanban]
```

Tables: `crm_leads`, `crm_activities` + RLS","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr, type:data","","","","","2026-06-08T14:04:58.791Z","2026-06-08T14:05:01.564Z","","","","","","2026-06-15T14:04:59.908Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","590815e7-9ca2-415a-a95f-b94a44603d1c","86","","SAN-768",""
"SAN-770","Sanjiovani","AIE-016 [MVP] sponsorMatchWorkflow + fit scores","## Order: 16/32 · Phase: **MVP**

**Disk:** `MVP/AIE-016-mvp-sponsor-match-workflow.md` · Wireframe 016

```mermaid
flowchart LR
  E[Event tags] --> S[Deterministic score]
  S --> X[LLM explain]
  X --> BADGE[FitScoreBadge 96%]
```

Fashion Night → jewelry 96%, fintech 34%","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, prefix:INT, track:ai","","","","","2026-06-08T14:04:46.269Z","2026-06-08T14:04:47.884Z","","","","","","2026-06-15T14:04:47.882Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","07a4e987-911d-4edd-a244-1a1e766bd89c","86","SAN-132","SAN-729",""
"SAN-769","Sanjiovani","AIE-015 [MVP] Recommendations hub /recommendations","## Order: 15/32 · Phase: **MVP**

**Disk:** `MVP/AIE-015-mvp-recommendations-hub.md` · Wireframes 035, 028 · EVP-042

```mermaid
flowchart TD
  U[User context] --> R{Type}
  R --> E[events]
  R --> V[venues]
  R --> P[places]
  E & V & P --> C[Generative cards]
```

`useCopilotReadable` for personalization","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr, track:ai","","","","","2026-06-08T14:04:42.468Z","2026-06-08T14:04:43.259Z","","","","","","2026-06-15T14:04:43.256Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","76dc2fce-ecc0-4fb9-ae74-da005b08cc71","86","SAN-145","SAN-766",""
"SAN-768","Sanjiovani","AIE-017 [MVP] Sponsor pipeline screens + sponsorAgent","## Order: 17/32 · Agent #7/8

**Disk:** `MVP/AIE-017-mvp-sponsor-pipeline-screens.md`
**Routes:** `/host/sponsors`, opportunities, proposals (wireframes 015-018)

```mermaid
flowchart LR
  R[Research] --> M[Match score]
  M --> P[Proposal draft]
  P --> HITL[HITL approve]
```

No auto-send outreach","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, scr, track:ai","","","","","2026-06-08T14:04:38.486Z","2026-06-08T14:04:39.558Z","","","","","","2026-06-15T14:04:39.556Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","98d1ee90-074e-4b28-bb8e-4e85ff187607","86","SAN-132","",""
"SAN-767","Sanjiovani","AIE-014 [MVP] attendeeAgent on /me/tickets","## Order: 14/32 · Agent #6/8

**Disk:** `MVP/AIE-014-mvp-attendee-agent.md`

## CopilotKit v1

`useCoAgent({ name: ""attendeeAgent"" })` on wallet — narrow specialist, not second discovery brain.

```mermaid
flowchart LR
  W[/me/tickets] --> AT[attendeeAgent]
  AT --> T1[get_wallet_tickets]
  AT --> T2[suggest_nearby_places]
  AT --> T3[recommend_events]
```

Reuse concierge tools where possible.","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, prefix:INT, track:ai","","","","","2026-06-08T14:04:35.802Z","2026-06-08T14:04:42.325Z","","","","","","2026-06-15T14:04:42.323Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","89b56502-30be-401c-9006-462a543b42d9","86","","SAN-729",""
"SAN-766","Sanjiovani","AIE-013 [MVP] revenueForecastWorkflow + forecast card","## Order: 13/32 · Phase: **MVP**

**Disk:** `MVP/AIE-013-mvp-revenue-forecast-workflow.md` · Wireframe 026

```mermaid
flowchart LR
  O[orders+tiers] --> P[pace SQL]
  P --> F[forecast range SQL]
  F --> N[Gemini narrative]
  N --> CARD[Forecast card]
```

Numbers from SQL only · toolbar 📈","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","phase:mvp, prefix:AIE, prefix:INT, track:ai","","","","","2026-06-08T14:04:34.940Z","2026-06-08T14:04:36.163Z","","","","","","2026-06-15T14:04:35.775Z","SAN-757","Phase 1 — mdeai MVP launch","","","MediumRisk","97678733-1ee1-4bb8-90d5-5c929d7c9a84","86","","SAN-115, SAN-729",""
"SAN-731","Sanjiovani","UI-004 — Event detail loading skeleton + hero alt (a11y)","## Spec

`tasks/events/specs/pages/PAGE-003-event-detail-commerce.md` · Luma prep: PAGE-003b

## Problem

* `/events/[slug]` hero image uses empty `alt=""""`
* No route-level `loading.tsx` skeleton

## Fix

1. `app/events/[slug]/loading.tsx` — skeleton hero + tiers
2. `event-detail-view.tsx` — meaningful alt from event name
3. Extend SCREEN-014 if needed

## Acceptance

* Navigation shows skeleton
* a11y: hero alt present
* Semantic tokens only

## Related

[SAN-237](https://linear.app/sanjiovani/issue/SAN-237/uix-009-screen-014-event-detail-page) · [SAN-135](https://linear.app/sanjiovani/issue/SAN-135/evt-017-luma-style-event-detail-layout)","Backlog","","High","43b16e0a-96de-478d-9842-f2467c0f7b8c","Events Platform","ai@socialmediaville.ca","","area:events, phase:mvp, scr","","","","","2026-06-08T08:12:00.948Z","2026-06-08T08:12:01.986Z","","","","","","2026-06-15T08:12:01.984Z","","Phase 1 — mdeai MVP launch","","","MediumRisk","cc658f20-634e-4d1f-855b-b8c868b1f4b6","439","SAN-135, SAN-237","",""
