"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-721","Sanjiovani","ECOM-C-020 — Production readiness checklist","## ECOM-C-020 — Commerce production readiness checklist

**Spec:** `docs/ecommerce/tasks/ECOM-C-020-production-readiness.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 0.5-1 day

### Goal

Decide if Core can ship without breaking the existing mdeai MVP.

### Depends on

* ECOM-C-018
* ECOM-C-017
* ECOM-C-019

### Blocks

* ECOM-M-001
* ECOM-M-002
* ECOM-M-009
* ECOM-M-010
* ECOM-M-011
* ECOM-M-012

### Scope / features

* Add `docs/ecommerce/docs/commerce-production-readiness.md`.
* Add `mdeapp/scripts/verify-commerce-readiness.mjs`.
* Include env, health, Store API, Stripe webhook, product hydration, Supabase RLS, logs, rollback, and feature flag.
* **Infrastructure modules** (see [05-medusa-recipes-map.md](<../docs/05-medusa-recipes-map.md>)): Redis event/workflow/cache reachable; File module (S3 or local) for product images; Notification provider stub or SendGrid; optional Promotion module smoke.
* **Commerce modules:** confirm Product/Pricing/Inventory/Region/Cart/Payment/Order paths green; document unsupported fields (e.g. `*seller.reviews` until C-022 Done).

### Acceptance criteria

- [ ] Readiness checklist exists.
- [ ] Verify script checks required env and smoke endpoints.
- [ ] Commerce UI can be disabled by feature flag.
- [ ] Existing mdeai MVP passes with commerce disabled.
- [ ] Gate says marketplace tasks are blocked until Core proof exists.

### Proof commands

```bash
cd mdeapp && node --env-file=.env.local scripts/verify-commerce-readiness.mjs
cd mdeapp && npm run lint && npm run typecheck && npm test
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, CORE-GATE, FROZEN",,,,,"2026-06-07T20:51:29.255Z","2026-06-08T01:02:00.237Z",,,,,,"2026-06-08T20:51:29.985Z",,"Phase 1 — mdeai MVP launch","b43c74a8-3b9a-4cd9-ad11-fcc02cc0bf92","M3 - Checkout proof and readiness","HighRisk","a4a77505-a6f9-46b6-b9bc-53440e53f926",1141,"SAN-646","SAN-720, SAN-645",
"SAN-720","Sanjiovani","ECOM-C-019 — AI E2E checkout proof","## ECOM-C-019 — AI end-to-end checkout proof

**Spec:** `docs/ecommerce/tasks/ECOM-C-019-ai-checkout-proof.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Run the full proof: user asks AI, sees product card, adds to cart, pays Stripe, and creates a Medusa order.

### Depends on

* ECOM-C-013
* ECOM-C-015
* ECOM-C-016

### Blocks

* ECOM-C-017
* ECOM-C-020
* ECOM-M-001

### Scope / features

* Add Playwright checkout spec.
* Add `scripts/smoke-commerce-paid-proof.mjs`.
* Record evidence file with test order id.
* Keep proof independent from event ticket smoke scripts.

### Acceptance criteria

- [ ] User can ask/search for a product.
- [ ] ProductCard renders.
- [ ] Add-to-cart works.
- [ ] Stripe test payment completes.
- [ ] Medusa order exists.
- [ ] Evidence doc records order id, date, env, and commands.

### Proof commands

```bash
cd mdeapp && npm run test:e2e -- e2e/commerce-checkout.spec.ts --project=chromium --workers=1
cd mdeapp && node --env-file=.env.local scripts/smoke-commerce-paid-proof.mjs
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, CORE-GATE, FROZEN",,,,,"2026-06-07T20:51:27.932Z","2026-06-08T01:01:58.209Z",,,,,,"2026-06-08T20:51:29.028Z",,"Phase 1 — mdeai MVP launch","b43c74a8-3b9a-4cd9-ad11-fcc02cc0bf92","M3 - Checkout proof and readiness","HighRisk","cc97b251-619b-43b2-b96c-fe088bb6e4f1",1141,"SAN-644","SAN-641, SAN-643",
"SAN-645","Sanjiovani","ECOM-C-017 — Manual ops & refund playbook","## ECOM-C-017 — Manual ops and refund playbook

**Spec:** `docs/ecommerce/tasks/ECOM-C-017-manual-ops-refund-playbook.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 0.5-1 day

### Goal

Document manual support, refund, fulfillment, and failure handling before real users buy.

### Depends on

* ECOM-C-016

### Blocks

* ECOM-C-020

### Scope / features

* Add `docs/ecommerce/docs/commerce-ops-playbook.md`.
* Add `docs/ecommerce/docs/commerce-refund-playbook.md`.
* Include order lookup, refund, webhook failure, stock correction, support handoff, and test/live mode separation.

### Acceptance criteria

- [ ] Operator can find a Medusa order.
- [ ] Operator can refund a test order.
- [ ] Operator can identify webhook failure symptoms.
- [ ] Support path is documented for CopilotKit and manual handoff.

### Proof commands

```bash
rg -n ""refund|webhook|order lookup|test mode|live mode|support"" docs/ecommerce/docs/commerce-*playbook.md
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, CORE-GATE",,,,,"2026-06-06T10:37:13.518Z","2026-06-08T01:01:26.699Z",,,,,,"2026-06-07T10:37:14.064Z",,"Phase 1 — mdeai MVP launch","b43c74a8-3b9a-4cd9-ad11-fcc02cc0bf92","M3 - Checkout proof and readiness","Breached","65a8960b-bb55-4366-be90-3a4504ecf033",3196,"SAN-646, SAN-644","",
"SAN-643","Sanjiovani","ECOM-C-015 — Cart state UI","## ECOM-C-015 — Minimal cart state UI

**Spec:** `docs/ecommerce/tasks/ECOM-C-015-cart-state-ui.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Show a minimal cart state UI that reflects Medusa cart totals and line items.

### Depends on

* ECOM-C-012
* ECOM-C-014

### Blocks

* ECOM-C-019

### Scope / features

* Add minimal cart summary component/hook.
* Show item count, selected variants, subtotal, and checkout CTA.
* Add accessible cart count update announcement.
* Keep checkout button tied to `checkout_link`.

### Acceptance criteria

- [ ] Cart updates after add-to-cart.
- [ ] Variant details are visible for each item.
- [ ] Checkout button calls the checkout tool.
- [ ] Cart count updates include `aria-live=""polite""`.
- [ ] Mobile sticky elements account for safe-area inset if used.

### Proof commands

```bash
cd mdeapp && npm test -- src/components/commerce
npm run test:e2e -- e2e/commerce-cart-state.spec.ts --project=chromium --workers=1
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, FROZEN",,,,,"2026-06-06T10:36:31.356Z","2026-06-08T01:01:17.953Z",,,,,,"2026-06-07T10:36:32.634Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","fbdff7cd-839e-453b-a8d7-e271bbd339b6",3196,"","SAN-640, SAN-642",
"SAN-642","Sanjiovani","ECOM-C-014 — CopilotKit ProductCard","## ECOM-C-014 — CopilotKit ProductCard render

**Spec:** `docs/ecommerce/tasks/ECOM-C-014-copilotkit-product-card.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Render AI product results as compact CopilotKit product cards inside the existing mdeai UI.

### Depends on

* ECOM-C-010
* ECOM-C-011
* ECOM-C-006

### Blocks

* ECOM-C-015
* ECOM-C-019

### Scope / features

* Add `mdeapp/src/components/commerce/ProductCard.tsx`.
* Register product search render path in existing CopilotKit/Mastra render system.
* Card supports image, title, price, availability, variant strategy, view detail, and add to cart.
* Keep UI compact and mobile safe.

### Acceptance criteria

- [ ] ProductCard renders from `product_search` DTO.
- [ ] Price/stock are Medusa-hydrated.
- [ ] Add-to-cart action is visible and has loading/error states.
- [ ] Mobile touch targets are at least 44px.
- [ ] No new storefront route is created.

### Proof commands

```bash
cd mdeapp && npm test -- src/components/commerce
npm run test:e2e -- e2e/commerce-product-card.spec.ts --project=chromium --workers=1
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, CORE-GATE, FROZEN",,,,,"2026-06-06T10:36:28.291Z","2026-06-08T01:01:17.326Z",,,,,,"2026-06-07T10:36:28.859Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","1030558e-2c7f-4b57-968e-38e72b015ad8",3196,"","SAN-638, SAN-639",
"SAN-641","Sanjiovani","ECOM-C-013 — Mastra checkout_link","## ECOM-C-013 — Mastra checkout_link tool

**Spec:** `docs/ecommerce/tasks/ECOM-C-013-mastra-checkout-link.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Let Mastra return a safe web checkout link for a Medusa cart.

### Depends on

* ECOM-C-004
* ECOM-C-012

### Blocks

* ECOM-C-019

### Scope / features

* Add `checkout_link` Mastra tool.
* Keep checkout creation server-side.
* Return URL and cart/order context only.
* Use commerce-specific Stripe/Medusa env.

### Acceptance criteria

- [ ] Valid cart returns a test checkout URL.
- [ ] Invalid/empty cart fails safely.
- [ ] Existing event ticket checkout code is not modified.
- [ ] Tool output is safe for CopilotKit and WhatsApp later.

### Proof commands

```bash
cd mdeapp && npm test -- src/mastra/tools/__tests__/commerce-checkout-link.test.ts
node --env-file=.env.local scripts/smoke-commerce-checkout-link.mjs
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, FROZEN",,,,,"2026-06-06T10:36:26.157Z","2026-06-08T05:25:15.843Z",,,,,,"2026-06-07T10:36:27.748Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","d5682025-68ff-4030-a4fb-576fe200bded",3196,"SAN-632, SAN-727","SAN-640",
"SAN-640","Sanjiovani","ECOM-C-012 — Mastra cart tools","## ECOM-C-012 — Mastra cart tools

**Spec:** `docs/ecommerce/tasks/ECOM-C-012-mastra-cart-tools.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Let Mastra create Medusa carts and add variants to cart.

### Depends on

* ECOM-C-008

### Blocks

* ECOM-C-013
* ECOM-C-015

### Scope / features

* Create cart with region/currency context after SDK method verification.
* Add variant to cart.
* Return cart id, line items, variants, totals, and availability.
* Persist/reuse cart id through existing session state pattern.

### Acceptance criteria

- [ ] Cart can be created.
- [ ] Variant can be added.
- [ ] Totals come from Medusa.
- [ ] Quantity and out-of-stock errors are handled.

### Proof commands

```bash
cd mdeapp && npm test -- src/mastra/tools/__tests__/commerce-cart.test.ts
node --env-file=.env.local scripts/smoke-commerce-cart.mjs
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, FROZEN",,,,,"2026-06-06T10:36:23.977Z","2026-06-08T01:01:14.807Z",,,,,,"2026-06-07T10:36:24.639Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","b1bbe30d-3cf7-4a87-a6d9-f57c30d61334",3196,"","SAN-636",
"SAN-639","Sanjiovani","ECOM-C-011 — Mastra product_detail","## ECOM-C-011 — Mastra product_detail tool

**Spec:** `docs/ecommerce/tasks/ECOM-C-011-mastra-product-detail.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Let Mastra fetch one live product detail safely from Medusa.

### Depends on

* ECOM-C-008

### Blocks

* ECOM-C-014

### Scope / features

* Add `mdeapp/src/mastra/tools/commerce/product-detail.ts`.
* Validate product id.
* Fetch live Medusa detail.
* Normalize detail DTO.

### Acceptance criteria

- [ ] Product detail includes title, image, description, variant choices, price, and availability.
- [ ] Price is displayed as Medusa display amount.
- [ ] Invalid or missing product id fails safely.

### Proof commands

```bash
cd mdeapp && npm test -- src/mastra/tools/__tests__/commerce-product-detail.test.ts
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, FROZEN",,,,,"2026-06-06T10:36:21.022Z","2026-06-08T01:01:10.446Z",,,,,,"2026-06-07T10:36:23.337Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","dd6b1d0f-a6a7-40e3-a402-19a18f6cd2db",3196,"","SAN-636",
"SAN-638","Sanjiovani","ECOM-C-010 — Mastra product_search","## ECOM-C-010 — Mastra product_search tool

**Spec:** `docs/ecommerce/tasks/ECOM-C-010-mastra-product-search.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

**Phase 3 priority 5** — after SAN-636 (C-008).

### Goal

Let Mastra search product embeddings and then hydrate current product cards from Medusa.

### Depends on

* ECOM-C-008
* ECOM-C-009

### Blocks

* ECOM-C-014

### Scope / features

* Add `mdeapp/src/mastra/tools/commerce/product-search.ts`.
* Query Supabase for candidate product ids only.
* Hydrate current price, stock, title, image, and variants from Medusa.
* Return ProductCard DTOs.

### Acceptance criteria

- [ ] Tool returns live Medusa price and stock.
- [ ] Tool never returns price/stock from Supabase.
- [ ] Unavailable products are excluded or marked unavailable using Medusa data.
- [ ] Tool has deterministic fallback if vector search is unavailable.

### Proof commands

```bash
cd mdeapp && npm test -- src/mastra/tools/__tests__/commerce-product-search.test.ts
cd mdeapp && npm run dev:agent
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, FROZEN",,,,,"2026-06-06T10:36:16.339Z","2026-06-08T01:01:09.970Z",,,,,,"2026-06-07T10:36:18.454Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","42a6eb2d-d3ad-427f-8bf6-abbc43bf88ba",3197,"","SAN-637, SAN-636",
"SAN-637","Sanjiovani","ECOM-C-009 — Supabase links + embedding sync","## ECOM-C-009 — Product embedding sync

**Spec:** `docs/ecommerce/tasks/ECOM-C-009-product-embedding-sync.md`
**Phase:** 3 · **Priority:** P0 · **Estimate:** 1-2 days

### Goal

Sync searchable product text into pgvector while hydrating live price and stock from Medusa later.

### Depends on

* ECOM-C-006
* ECOM-C-018

### Blocks

* ECOM-C-010

### Scope / features

### Step A — Supabase link tables (formerly misnumbered C-008)

* Add `commerce_product_embeddings` migration under `mdeapp/supabase/migrations/`
* RLS enabled; **no** price, stock, cart, or order columns
* Optional sync log table

### Step B — Embedding sync

* Build embedding text from Mercur product title, description, tags, and non-price attributes.
* Generate Gemini embeddings.
* Upsert into `commerce_product_embeddings`.
* Store checksum and `synced_at`.
* Add stale-data detector.

### Acceptance criteria

- [ ] Product sync writes product id and vector.
- [ ] Sync does not write authoritative price, stock, cart, or order data.
- [ ] Failed sync is logged and retryable.
- [ ] Stale products are detectable.

### Proof commands

```bash
cd mdeapp && node --env-file=.env.local scripts/sync-commerce-embeddings.mjs --dry-run
cd mdeapp && npm test -- src/lib/commerce/embedding-text.test.ts
```

### References

* ADR: `docs/ecommerce/adr/001-standalone-mercur.md`
* Recipe map: `docs/ecommerce/docs/05-medusa-recipes-map.md`
* Index: `docs/ecommerce/tasks/INDEX.md`","Backlog",,"Urgent","db36b26e-5610-4af0-b387-9eb8c4703a90","Commerce Platform","ai@socialmediaville.ca",,"COMM, CORE-GATE, FROZEN",,,,,"2026-06-06T10:36:14.214Z","2026-06-08T01:01:08.951Z",,,,,,"2026-06-07T10:36:19.480Z",,"Phase 1 — mdeai MVP launch","4a272d83-4890-4db1-95e3-3fb9e67f675f","M2 - AI product cards and cart","Breached","0c2b734b-d8b4-4935-8321-97b9e3eb2b7a",3197,"SAN-646","SAN-636",
