"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"SAN-271","Sanjiovani","WIRE-025 — Notifications","**Task ID:** `WIRE-025`
**Spec:** `tasks/screens/025-wire-notifications.md`
**Type:** wireframe
**Repo status:** Deferred
**Path:** /notifications
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:54.164Z","2026-05-27T09:29:54.164Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"21c0a6f4-16e4-4dc1-9230-5b872f01c731",346,"","",
"SAN-269","Sanjiovani","WIRE-023 — Onboarding Wizard","**Task ID:** `WIRE-023`
**Spec:** `tasks/screens/023-wire-onboarding-wizard.md`
**Type:** wireframe
**Repo status:** Deferred
**Path:** /onboarding
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:52.949Z","2026-05-27T09:29:52.949Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"f76cdf0d-b4c6-4bec-bfd3-e1e32bf9cf0e",346,"","",
"SAN-267","Sanjiovani","WIRE-010 — Nightlife Explorer","**Task ID:** `WIRE-010`
**Spec:** `tasks/screens/019-wire-nightlife-explorer.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /nightlife
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:51.940Z","2026-05-27T09:29:51.940Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"e4bb2cc4-bff0-4396-8655-4f12056c49b9",346,"","",
"SAN-266","Sanjiovani","WIRE-011 — Creator Dashboard","**Task ID:** `WIRE-011`
**Spec:** `tasks/screens/019-wire-creator-dashboard.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /creator
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:50.074Z","2026-05-27T09:29:50.074Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"46a32013-eb1d-4557-b32a-f37269b9b907",346,"","",
"SAN-264","Sanjiovani","WIRE-009 — Contest Discovery","**Task ID:** `WIRE-009`
**Spec:** `tasks/screens/018-wire-contest-discovery.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /contests
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:47.621Z","2026-05-27T09:29:47.621Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"049b0a7d-29d0-4ccb-bb47-d63563f85e1d",347,"","",
"SAN-261","Sanjiovani","WIRE-016 — Explore Unified","**Task ID:** `WIRE-016`
**Spec:** `tasks/screens/016-wire-explore-unified.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /explore
**Priority:** P2

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:45.577Z","2026-05-27T09:29:45.577Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"d35d39c9-f760-44f0-a5d8-238a77a0b551",347,"","",
"SAN-258","Sanjiovani","WIRE-013 — Mindtrip Observed Patterns","**Task ID:** `WIRE-013`
**Spec:** `tasks/screens/013-wire-mindtrip-patterns.md`
**Type:** wireframe
**Repo status:** Reference
**Path:** reference
**Priority:** —

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"Medium","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:43.925Z","2026-05-27T09:29:43.925Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"a85970b5-90c3-42ff-9b2d-37b80251d994",347,"","",
"SAN-250","Sanjiovani","WIRE-021 — Bookings Inbox","**Task ID:** `WIRE-021`
**Spec:** `tasks/screens/008-wire-bookings-inbox.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /bookings
**Priority:** P1

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:38.776Z","2026-05-27T09:29:38.776Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"bcab43cd-da58-451c-9b11-8c9493df6430",347,"","",
"SAN-244","Sanjiovani","WIRE-015 — Rentals Browse (catalog)","**Task ID:** `WIRE-015`
**Spec:** `tasks/screens/005-wire-rentals-browse.md`
**Type:** wireframe
**Repo status:** Frozen
**Path:** /rentals
**Priority:** P1

---

*Imported from tasks/screens/ — spec file is source of truth.*","Backlog",,"High","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:34.813Z","2026-05-27T09:29:34.813Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"edc7b531-670f-4f4e-98ab-440d2fd23aa6",347,"","",
"SAN-270","Sanjiovani","WIRE-024 — Login / Signup","**Task ID:** `WIRE-024`
**Spec:** `tasks/screens/024-wire-auth-login-signup.md`
**Type:** wireframe
**Repo status:** Not Started
**Path:** /login
**Priority:** P0
**Paired screen specs:** 017-scr-login-signup-polish.md
**Legacy screens:** SCREEN-017

---

*Imported from tasks/screens/ — spec file is source of truth.*","Todo",,"Urgent","7826f699-5ded-44e3-8fc1-0a17fd9910ca","MDEAPP","ai@socialmediaville.ca",,"doc:wireframe, phase-1, track:screens",,,,,"2026-05-27T09:29:53.562Z","2026-05-27T09:29:53.562Z",,,,,,,,"","80fe78ad-59de-48f5-9815-7c208c0f0176","P1 — Screens & café",,"c2cd37ae-311f-47cc-8d4c-7cdba7e7a438",346,"","",
